,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-08-08,-10.300970873786408,-2.05267629566695,-2.729139922978177,-2.960159362549801,-0.9293478260869565,-1.6651162790697673,1.7647058823529411,1.0,-1.584061135371179,1.0,0.361003861003861,8.0,0.009929078014184398,0.023977433004231313,0.009971509971509971,0.011283497884344146,0.59233535467494,0.09,0.11,-0.1,-0.34,-0.12,-0.12,2.02,1.57,-0.15,-2.91,-1.26,-0.33,-0.09,0.09,-0.24,-1.61,0.66,1.97,4,0,1,1,1,0
2022-08-09,-10.674321503131525,1.606133979015335,-0.9651076466221232,-1.6720867208672088,106.61538461538461,3.727272727272727,2.3404255319148937,20.08695652173913,-1.3757009345794393,0.75,-1.3163120567375886,-1.8888888888888888,0.0,-0.009641873278236915,-0.0014104372355430183,0.002789400278940028,0.49970109598140156,-0.17,-0.17,-1.19,-1.15,-0.42,-0.42,-0.31,0.32,-0.06,1.06,1.81,4.11,0.34,0.42,0.54,-4.57,2.25,-0.29,0,0,1,1,1,0
2022-08-10,-1.3913465688390159,-0.5590998245070713,40.8936170212766,-1.9885752688172043,-0.20300214438884917,2.4319526627218937,-0.4305732484076433,0.006185567010309278,-3.8059701492537314,-1.0,-0.9192825112107623,-0.5,0.012640449438202247,0.011126564673157162,0.014124293785310734,0.005563282336578581,-0.4978149821360026,1.63,1.6,2.89,2.77,2.13,2.07,1.39,0.77,-1.11,0.2,-1.45,-1.37,-1.6,-0.9,-0.67,4.25,-9.32,1.58,1,0,0,1,0,0
2022-08-12,-1.9903014969428632,-1.537052379637301,-1.186034829202947,203.875,-2.023017902813299,-0.6191198786039454,-0.6597938144329897,-1.0,-0.9711664482306684,-1.0,-1.1590909090909092,-1.1826923076923077,0.008368200836820083,0.005532503457814661,0.0169971671388102,0.013966480446927373,0.9700840065271259,1.27,1.24,2.09,2.0,1.73,1.69,1.98,1.0,0.48,-1.64,0.73,0.2,-0.06,0.16,-0.29,2.99,-3.32,-2.38,3,0,0,1,0,1
2022-08-19,-2.601868732907931,-1.2588535962029939,4.3699906803355075,-10.668994413407821,-4.77491961414791,-1.0178689609530112,-1.5757575757575757,1.0,-1.2586206896551724,-1.0,115.0,-2.888888888888889,-0.002785515320334262,-0.006887052341597796,-0.009762900976290097,-0.015256588072122053,0.050536996771430455,-0.87,-0.81,-2.01,-1.88,-1.29,-1.28,2.83,2.01,0.65,3.12,0.94,0.64,-1.44,-0.61,0.66,-2.78,5.32,0.3,3,0,1,1,1,0
2022-08-25,-8.23959938366718,-7.651869158878505,-955.0,-0.04539340954942838,0.26429010448678547,0.5846645367412141,-1.33011583011583,1.0,-2.5929203539823007,0.6666666666666666,10.857142857142858,1.5,0.00995732574679943,0.022566995768688293,0.007122507122507123,0.0226628895184136,0.11565312027181271,0.98,0.96,1.67,1.75,1.41,1.41,4.72,7.31,-0.18,-2.51,-0.84,0.72,1.79,1.22,-0.47,3.66,-4.56,-2.5,2,0,1,1,1,1
2022-08-26,-0.5955092050654465,-1.5652733871911955,8.21174004192872,-0.49559704121169423,2.210986874088478,-0.4327956989247312,-0.5555555555555556,-0.9957264957264957,14.85,-2.4,0.6506024096385542,0.5333333333333333,0.01971830985915493,0.011034482758620689,0.021216407355021217,0.009695290858725761,-0.18108493932905068,-3.04,-3.04,-3.94,-4.07,-3.37,-3.37,0.53,0.31,0.29,-0.06,0.24,1.36,-0.61,0.15,0.56,-5.81,17.36,0.58,3,0,0,0,0,0
2022-08-29,-0.9197579584319916,-1.0627589063794531,-0.9984069185252618,-0.7527932960893855,-0.8417865253595761,-1.6848341232227488,-1.6842105263157894,-1.0,-1.049421661409043,0.7142857142857143,-1.051094890510949,-0.17391304347826086,0.006906077348066298,-0.001364256480218281,0.0013850415512465374,-0.0027434842249657062,-0.12748772480316103,-0.57,-0.58,-1.02,-1.01,-0.67,-0.7,2.6,4.2,0.08,1.4,-0.18,0.42,-2.81,-2.18,0.28,-1.93,2.54,4.24,4,0,0,0,0,0
2022-08-30,-20.137704918032785,-10.557755775577558,-228.07142857142858,9.878531073446327,-0.30526315789473685,-0.8719723183391004,0.5769230769230769,-1.0,-0.16312056737588654,-11.916666666666666,31.285714285714285,-1.631578947368421,-0.01783264746227709,-0.01912568306010929,-0.02351313969571231,-0.023383768913342505,-0.19666344777063702,-0.96,-0.94,-1.12,-1.07,-1.1,-1.09,-0.54,-0.7,-0.06,-0.06,0.77,2.01,2.2,0.99,0.31,-1.31,0.0,-5.54,0,0,1,1,1,0
2022-08-31,-1.32619496316601,-1.4219613259668509,-1.2192513368983957,-0.611010127239678,-0.1721763085399449,-23.445945945945947,-2.0853658536585367,-0.972972972972973,-1.2033898305084745,-1.0,-1.1371681415929205,0.4166666666666667,-0.002793296089385475,0.004178272980501393,0.0028328611898017,0.009859154929577466,-0.10395854922279793,-0.88,-0.76,-0.56,-0.59,-0.78,-0.78,1.41,0.71,-0.07,2.72,1.07,-0.44,1.26,0.86,-0.64,-1.15,-1.3,-2.28,1,0,1,1,1,1
