,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-02-18,-1.3306231788701945,-1.2491890543125677,-0.8891880249838466,-0.6284878487848785,0.8992042440318302,-0.6792491749174917,-0.996196222455404,-1.0,-0.591304347826087,-1.0,72.6231884057971,-0.6842105263157895,-1.78,-1.78,-2.88,-2.98,-2.12,-2.14,0.26,-1.49,0.1,-3.51,-3.71,-4.7,-0.45,0.53,0.18,-3.74,15.73,-2.03,-0.0017667844522968198,0.008818342151675485,0.0,0.1165149313484179,3.0,1,1,0,0,0
2022-02-19,-1.5587775408670932,-6.20894526034713,0.4227405247813411,-0.31738340399757725,1.9217877094972067,-1.1048231511254019,11.586206896551724,-1.0,-0.22340425531914893,-0.0,1.5852362204724408,-1.5,-0.68,-0.65,-1.23,-1.19,-0.72,-0.71,0.74,1.18,0.24,-2.11,-0.05,-1.92,0.86,0.02,-0.25,-1.12,-1.28,-0.75,-0.01592920353982301,-0.015734265734265736,-0.012589928057553957,-0.06156706507304117,4.0,0,0,0,0,0
2022-02-23,-0.11730395333765392,1.841870824053452,-0.33967529173008626,4.197247706422019,-0.7425452175329966,-1.40817843866171,3.464,103.75,-0.8530142945929149,-1.0,-0.048810703666997024,-2.1724137931034484,-1.42,-0.1,-1.23,1.34,-1.01,0.66,-2.05,-2.41,-0.03,3.78,8.7,2.9,-1.83,-1.35,-0.15,-0.83,3.82,-0.32,0.0018148820326678765,-0.010657193605683837,-0.005454545454545455,0.24632860193917858,1.0,0,0,0,0,0
2022-02-24,11.47136563876652,2.6330329153605017,0.14636957356895888,-1.732568402471315,3.3360759493670886,-7.832422586520948,-0.38530465949820786,-1.0167064439140812,1.095137420718816,-0.99581589958159,-0.08951984023617261,-0.3235294117647059,-1.38,-1.37,-2.57,-2.56,-1.84,-1.81,0.26,-0.62,0.17,2.78,2.82,0.0,1.06,0.47,0.05,-2.33,7.67,-0.27,0.010869565217391304,0.00718132854578097,0.0018281535648994515,0.15686512389675775,2.0,0,0,0,0,0
2022-02-25,-2.0151889791593076,-1.8855632853367847,0.12488829311885612,-3.136746987951807,-1.0159100861188148,-0.35803785657158094,-0.7813411078717201,-1.4285714285714286,-0.4571140262361251,-15.0,0.03948121304596605,-1.3043478260869565,0.28,0.27,3.34,3.4,1.5,1.47,-3.74,-3.63,0.98,-1.4,-1.74,-9.3,-3.32,-2.6,1.14,3.7,-2.26,0.77,-0.021505376344086023,-0.0053475935828877,-0.005474452554744526,0.2003906352410665,3.0,1,1,0,0,0
2022-02-26,-1.9859081419624216,-1.710675354728701,-0.15531281032770605,-1.4448829997180717,-41.63302752293578,0.75,10.846666666666666,0.6666666666666666,1.1988847583643123,-4.785714285714286,-0.708348623853211,-0.42857142857142855,2.51,2.53,1.64,1.53,2.24,2.24,1.87,0.3,-0.51,0.0,-0.51,8.07,2.92,1.06,-0.7,1.57,-9.0,-1.31,0.018315018315018316,-0.0017921146953405018,0.001834862385321101,-0.1793760169482271,4.0,0,0,0,0,0
2022-03-01,-2.5892594553261574,-3.681062553556127,-0.6242652245473783,-2.5633713561470217,-1.1338902686836758,-0.901281442809682,-1.5678109172763084,-39.8,-1.301775147928994,-1.0,-1.3167662787039949,15.5,-0.49,-0.45,0.41,0.33,-0.25,-0.27,0.3,-0.7,0.08,-3.82,-3.48,-3.85,0.93,0.84,0.21,-0.67,9.28,4.51,-0.01079136690647482,0.02333931777378815,0.0,0.3777263230734427,0.0,1,1,1,1,1
2022-03-03,-1.176357378141308,-0.8642610585527998,1.6486232790988735,-0.11207944872314553,-2.752107925801012,1.7884615384615385,-3.3330029732408324,-1.0,0.5126050420168067,-1.0,-0.46077457795431975,-0.9545454545454546,1.79,1.75,1.62,1.67,1.86,1.81,-2.68,-1.61,0.03,9.49,13.6,0.9,1.63,0.16,-0.18,3.37,-7.74,6.95,0.034545454545454546,0.007017543859649123,0.029304029304029304,-0.08756712900359309,2.0,0,0,0,0,0
2022-03-04,-7.788667366211962,6.007534730397928,-1.3558180744240993,-1.7518831317050902,-0.7959576515880654,0.04396551724137931,-1.1537807986406117,-1.0,0.4462962962962963,-1.0,-0.13259668508287292,-16.0,-0.29,-0.33,-1.56,-1.47,-0.53,-0.51,1.3,-0.05,0.4,-2.02,0.8,8.96,1.88,1.61,0.2,-2.24,-0.85,-2.65,0.008787346221441126,0.02613240418118467,0.010676156583629894,0.11111934452607287,3.0,1,1,1,1,1
2022-03-05,-0.8026153085198466,-0.7687241692147442,-1.1749667994687916,-1.7328476017000607,-0.2830188679245283,-1.459124690338563,-1.0082872928176796,-0.0,0.614596670934699,1.0,-1.0318471337579618,-0.6888888888888889,-0.53,-0.46,-1.66,-1.36,-0.79,-0.73,0.57,0.05,0.9,-5.6,-2.37,-8.22,-1.25,-1.22,0.99,-2.42,4.92,7.44,0.013937282229965157,-0.003395585738539898,0.014084507042253521,-0.39316711603136345,4.0,1,0,0,0,0
