,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-06-30,-4.016083053227248,-3.320079816717168,3.010535070695869,0.7777005904828065,-1.974,-2.3565945568736915,1.0162546562817474,0.5385996409335727,-4.368421052631579,-1.2456140350877194,35.07831325301205,-4.194915254237288,0.26,0.21,-0.03,0.14,-0.07,-0.11,0.08,0.0,0.58,-2.83,-2.22,-1.29,-0.93,-1.82,0.76,-2.2,-0.71,-1.77,0.01824817518248175,-0.015789473684210527,-0.03683241252302026,1.2985132190446806,2.0,0,0,0,0,0
2022-07-01,-1.0488947197652603,-1.3850539929283598,0.4122770634591456,0.8044157874169597,1.3415468856947297,-1.1270576131687242,0.3327175008397716,-1.0548424737456243,-0.7232142857142857,12.571428571428571,-1.005009183503089,-1.663129973474801,-0.8,-0.7,-1.33,-1.38,-0.88,-0.83,-0.82,0.45,-0.38,-2.29,-2.87,-3.24,-2.22,-1.91,-1.11,-1.07,1.95,-3.66,-0.04838709677419355,-0.0392156862745098,-0.01338432122370937,-0.3100407738644563,3.0,0,0,0,0,0
2022-07-02,0.602135025966532,-0.45458305757776307,-0.7691140479686736,-1.4378992961559285,0.05261619409529377,-7.396761133603239,-0.5943289224952741,-1.127659574468085,-2.431451612903226,-1.0,97.53333333333333,-1.156,1.03,0.91,0.9,0.71,1.06,1.0,-4.07,-3.56,0.45,-4.22,-3.94,0.59,-2.14,-1.17,0.87,-3.83,-7.0,2.52,-0.02824858757062147,-0.02411873840445269,-0.025193798449612403,-0.24177093593064117,4.0,0,0,0,0,0
2022-07-06,6.191037735849057,-2.1288200339558574,-5.741663859885484,-0.9088883677298312,-2.6043646603308694,-1.5504460359341625,-2.314885496183206,38.0,7.439473684210526,7.419354838709677,2.1341176470588237,-1.0666666666666667,-0.42,-0.76,1.75,0.97,0.16,-0.33,-3.17,-3.04,1.34,-3.87,-3.01,-1.29,3.9,1.8,1.01,0.78,0.04,-9.87,-0.005870841487279843,0.017543859649122806,0.01507537688442211,0.39663967466913996,1.0,1,1,1,1,1
2022-07-07,-2.970318137094129,-0.07482609513066366,-1.499573803097031,-15.485199485199486,-0.5357612988152699,-1.2567906870577494,-0.2888243831640058,-1.0,-0.3748051138135329,-1.9425287356321839,-0.9725975975975976,3.0,0.23,0.25,0.35,0.61,0.36,0.37,-3.13,-1.45,0.58,4.09,6.14,8.9,-0.84,-2.13,-0.32,0.66,-2.94,-0.97,-0.001968503937007874,0.0,-0.009900990099009901,-0.159200040866367,2.0,0,0,0,0,0
2022-07-08,-3.3284228048272992,-4.338752286120707,-2.6657187544433385,-1.3305197689915593,-0.3941398865784499,-3.8293333333333335,-0.7836734693877551,1.0,0.5865336658354114,-0.9024390243902439,0.726027397260274,-4.583333333333333,1.12,1.14,2.28,2.17,1.5,1.47,0.27,0.55,0.03,2.27,0.96,3.34,1.79,1.84,-0.55,4.48,-2.43,4.26,0.015779092702169626,0.019157088122605363,0.026,0.0972994319390018,3.0,1,1,1,1,1
2022-07-09,0.3805762081784387,1.3275106512477175,-0.816047801963295,-3.0336021505376345,0.1310452418096724,0.3264216148287779,6.179245283018868,-0.8672566371681416,-0.15026721156868908,-9.0,11.841269841269842,2.604651162790698,-0.14,-0.18,0.12,0.11,-0.08,-0.1,2.25,0.97,-0.14,2.67,2.66,0.77,1.12,0.7,-0.23,0.47,-5.52,2.01,0.06796116504854369,0.043233082706766915,0.05263157894736842,0.3760958234132477,4.0,1,1,1,1,1
2022-07-12,-1.4801543121973952,-1.3239716534609451,-4.266357308584687,-1.0301387970918705,-3.4482758620689653,-1.4516816674561819,-2.597897503285151,21.666666666666668,-0.9060303366629671,-1.1510416666666667,-1.5339925834363413,-1.1225806451612903,-0.52,-0.54,-2.26,-2.2,-1.15,-1.14,0.74,-0.3,0.97,-3.37,-1.72,7.2,0.07,-0.44,1.25,-2.46,6.21,-0.67,-0.02181818181818182,-0.03063063063063063,-0.044444444444444446,0.24365955392229183,0.0,0,0,0,0,0
2022-07-13,-0.4541925047182529,-1.4285253047057873,1.1929251314107117,-12.460526315789474,-0.3143661971830986,1.2899842684845306,1.504111842105263,-1.0,-0.7480314960629921,-0.8620689655172413,-1.0706018518518519,2.526315789473684,-0.61,-0.56,-0.95,-0.89,-0.92,-0.86,-0.89,-1.48,0.09,-0.74,-0.6,6.99,-2.12,-0.96,-0.43,0.18,4.28,-7.93,-0.03531598513011153,-0.02973977695167286,-0.013565891472868217,-0.5235229729802596,1.0,0,0,0,0,0
2022-07-19,-0.7127785479998647,-0.7368480789966517,-0.6816871241453167,-0.40360920970752956,0.47634763476347636,15.66006600660066,0.8256484149855908,1.0,-1.6329294369208838,-1.2307692307692308,-2.329896907216495,0.5,-0.68,-0.64,-0.81,-0.84,-0.84,-0.81,1.3,1.11,-0.64,2.09,1.27,-1.41,1.88,1.9,0.04,-0.53,4.42,5.13,-0.02835538752362949,-0.024528301886792454,-0.0039447731755424065,-0.3006656365149174,0.0,1,1,0,0,0
2022-07-20,-2.3723805038850956,-5.433901229243045,1.3190993788819876,0.05467445742904841,-1.1907600596125187,-1.9138272583201268,-0.5548539857932123,4.2631578947368425,0.652027027027027,-9.333333333333334,-1.7364341085271318,-1.2814814814814814,2.42,2.4,3.11,3.08,2.76,2.71,0.12,-0.81,-0.6,1.31,2.25,5.7,0.72,-0.18,-1.0,4.61,-3.16,1.58,0.021400778210116732,0.025145067698259187,0.023762376237623763,0.02254488946084085,1.0,1,1,1,0,0
2022-07-21,1.7203397100454663,0.7106517509727627,-0.7791541122642562,-0.9301543332014246,-2.06640625,-0.3895512681552135,-1.173758865248227,-0.9714285714285714,-0.24335378323108384,-2.56,-15.052631578947368,2.8421052631578947,0.17,0.2,1.58,1.56,0.59,0.63,2.91,3.06,0.34,0.06,-0.19,-0.52,1.07,0.67,0.61,2.49,-2.53,-1.88,0.024761904761904763,0.03207547169811321,0.03481624758220503,0.44752214280625935,2.0,1,1,1,1,1
2022-07-22,0.7717826621677021,0.5828381336896875,-1.9474482061647296,34.844192634560905,-24.7985347985348,-2.055752840909091,10.452380952380953,-2.55,0.45495495495495497,1.7179487179487178,-0.09438202247191012,0.0273972602739726,0.5,0.48,1.36,1.4,0.99,0.98,0.33,0.18,-0.12,-4.89,-4.33,-1.36,0.56,0.93,-0.53,1.53,-3.22,-5.78,0.0055762081784386614,0.04570383912248629,0.009345794392523364,0.6686652613620518,3.0,1,1,1,1,1
2022-07-23,-1.204876746462579,-1.3118196515178733,2.1685333333333334,-0.8838220184936378,-0.7972910574111128,0.87924655230407,-1.384912384912385,-0.2903225806451613,0.12879256965944272,-0.9716981132075472,-0.8602150537634409,-1.5066666666666666,-0.43,-0.41,-1.87,-1.71,-0.93,-0.91,-2.1,-2.14,-0.15,-4.44,-3.99,-0.41,-0.68,-0.66,0.29,-2.55,-0.35,-1.71,0.027726432532347505,0.012237762237762238,0.027777777777777776,-0.5548460986423649,4.0,0,0,0,0,0
2022-07-26,-0.5635479106941187,0.5222651074370643,2.563036525837401,-8.442857142857143,1.9848139711465451,-0.16055127975657776,0.11342592592592593,-1.0,0.6725178277564454,-1.0,-2.6863905325443787,-1.6842105263157894,0.28,0.29,-0.43,-0.56,0.13,0.13,-2.67,-1.28,-0.26,0.79,0.49,0.83,-0.01,0.44,0.08,-0.61,1.43,2.11,0.01079136690647482,-0.012089810017271158,-0.005405405405405406,0.045437982398992965,0.0,0,0,0,0,0
2022-07-27,2.7281050955414012,0.8705392620624409,0.40802154195011336,0.6277305547938945,-0.5861104044772323,0.2878464818763326,-3.148995148995149,1.0,-0.46408658576582484,-1.0,2.175438596491228,-0.8076923076923077,-0.72,-0.74,-1.87,-1.96,-1.15,-1.18,-0.9,-0.44,0.64,-0.13,1.35,1.77,0.03,0.39,-0.08,-1.63,5.69,-1.78,-0.01601423487544484,0.0,-0.009057971014492754,0.3994592196708845,1.0,1,1,1,1,0
2022-07-28,0.05200213561131874,0.3118614578486314,0.4627411508136219,-0.8389016789263856,6.821143208358943,0.11771523178807947,3.527249274427604,-4.792079207920792,2.9290085679314566,-3.322134387351779,0.6508287292817679,-5.8,1.37,1.39,4.06,4.18,2.62,2.58,-1.63,-0.95,-0.65,-0.65,-2.46,-3.12,0.73,0.11,-0.31,4.75,-5.87,2.4,0.05605786618444846,0.026223776223776224,0.016453382084095063,0.7883213331521985,2.0,0,0,0,0,0
