,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-07-28,-1.1858932102834543,-0.6751700680272109,-1.2975389518413598,-0.22054140127388536,-0.8538996704503845,-0.23629089197458225,-1.2754921362358087,-0.9444444444444444,-0.6205450733752621,-1.0203389830508474,3.149484536082474,-1.2127659574468086,0.022222222222222223,-0.008064516129032258,0.011235955056179775,-0.005449591280653951,-0.5166083916083916,1.03,0.99,1.08,0.94,1.21,1.22,2.08,1.03,-0.09,-4.11,-3.87,-2.65,0.33,0.82,-0.81,1.15,-3.92,-0.86,2,0,0,1,0,1
2022-07-29,3.718439716312057,-4.854151084517577,1.3379946444510562,-0.9923391215526047,-5.042606516290727,0.2869029275808937,-0.9844990548204159,-1.0,-12.287292817679559,-1.0,-0.591304347826087,2.4,0.005434782608695652,0.016260162601626018,-0.008333333333333333,-0.0027397260273972603,0.8209458424004659,0.98,1.03,1.88,1.84,1.42,1.47,-2.19,-3.88,-0.42,-0.48,0.77,-0.54,0.66,0.67,0.58,0.77,-4.48,2.28,3,0,1,1,1,1
2022-08-01,-2.741094243198557,-2.986803803609548,-2.6394756935607027,287.93333333333334,-4.769373837569746,-1.674808429118774,-0.7073170731707317,-1.0,-1.1306901615271658,-1.0,-1.7750759878419453,-7.147058823529412,-0.010810810810810811,0.018666666666666668,0.022408963585434174,0.03021978021978022,1.168854776812765,-0.14,-0.18,-0.18,-0.07,-0.28,-0.31,1.95,2.25,-0.43,-3.1,-1.18,0.32,0.5,0.03,0.33,0.38,7.08,-4.8,4,0,0,1,0,1
2022-08-02,-1.1981698105063237,-1.3201797226020706,-1.148335015136226,-1.0867558837101985,-0.9611842105263158,-1.2132718239886444,120.25,-1.3161094224924013,-0.4232209737827715,-1.0978260869565217,0.6196078431372549,-1.8851674641148326,0.030054644808743168,-0.002617801047120419,0.01643835616438356,-0.008,-0.613374619730552,-1.23,-1.23,-0.16,-0.29,-0.67,-0.65,-2.73,-2.33,0.71,6.21,6.12,6.16,-0.4,-0.52,0.34,-0.12,4.77,0.56,0,0,0,0,0,0
2022-08-03,3.8481812241341755,-0.9063453325198292,10.46101517530089,8.941489361702128,-26.18220338983051,1.7870216306156406,5.3209621993127145,-3.6538461538461537,-8.467532467532468,1.8888888888888888,-1.631961259079903,0.14594594594594595,-0.013262599469496022,-0.02099737532808399,-0.03234501347708895,-0.03225806451612903,0.2974768662558462,1.28,1.25,2.59,2.68,1.56,1.53,1.29,1.75,0.26,-1.52,0.2,-1.82,1.37,0.89,-0.3,2.65,-8.27,-3.98,1,0,1,1,1,1
2022-08-04,-1.4221403540300117,-16.941368078175895,-1.2043648981828143,-0.8424291064740503,-0.8364462392730944,-2.2429850746268656,-1.4935304990757856,-1.173913043478261,-0.31217391304347825,1.064102564102564,-1.1379310344827587,-1.0471698113207548,-0.02956989247311828,-0.00804289544235925,0.002785515320334262,0.027777777777777776,-0.24164977799780318,-0.26,-0.27,0.41,0.42,-0.08,-0.1,0.16,1.04,-0.73,-0.47,-0.66,-1.77,1.2,0.47,-0.41,0.92,-2.32,-2.34,2,0,0,1,0,1
2022-08-05,-0.6243082162622392,1.6309767061708214,-3.005361930294906,3.5891341256366722,-2.289094650205761,-4.002881844380403,-1.2335316148931483,-1.0,-0.7054361567635904,-0.8819875776397516,-12.11111111111111,-3.9,0.027700831024930747,0.016216216216216217,0.022222222222222223,-0.002702702702702703,0.19170117709459597,0.23,0.23,-0.5,-0.74,-0.16,-0.13,-0.6,-1.58,0.82,4.94,5.94,3.56,0.79,0.72,-0.01,-0.91,-1.35,0.53,3,0,1,1,1,0
2022-08-08,-0.01586402266288952,0.014212488350419385,0.06729055258467023,-1.2708102108768036,-2.518754988028731,-0.06269993602047345,1.1603773584905661,1.0,0.33476394849785407,-0.47368421052631576,-0.93,-0.20689655172413793,-0.0026954177897574125,-0.007978723404255319,-0.002717391304347826,0.005420054200542005,-0.17645850451930978,0.09,0.11,-0.1,-0.34,-0.12,-0.12,2.02,1.57,-0.15,-2.91,-1.26,-0.33,-0.09,0.09,-0.24,-1.61,0.66,1.97,4,0,1,1,1,1
2022-08-09,11.276338514680484,0.48862853204686424,-3.3576200417536533,-3.7773224043715845,-2.643720441408303,-1.8281569965870308,-8.206550218340611,-1.0,-1.9710610932475885,-17.7,-26.607142857142858,-5.086956521739131,0.008108108108108109,0.05093833780160858,0.010899182561307902,0.05390835579514825,1.6115199135278955,-0.17,-0.17,-1.19,-1.15,-0.42,-0.42,-0.31,0.32,-0.06,1.06,1.81,4.11,0.34,0.42,0.54,-4.57,2.25,-0.29,0,0,0,1,0,1
2022-08-10,-0.7988885762521103,-1.3479938271604939,-0.16315416629770654,0.027545499262174127,0.41975703324808183,0.4825880898413353,-0.5096043143670848,1.0,3.165562913907285,-1.0,-5.750348675034868,0.6276595744680851,0.05093833780160858,0.012755102040816327,0.0431266846361186,-0.0025575447570332483,-0.3356071158514745,1.63,1.6,2.89,2.77,2.13,2.07,1.39,0.77,-1.11,0.2,-1.45,-1.37,-1.6,-0.9,-0.67,4.25,-9.32,1.58,1,0,0,1,0,0
2022-08-16,-0.3796426292278239,-1.8136845039018952,0.5320235756385069,10.08316430020284,0.9075887392900857,1.6716457722059215,-1.8086164043082023,-1.2125850340136055,3.806451612903226,-1.0,-0.9932432432432432,-0.576271186440678,0.017948717948717947,0.02506265664160401,0.012919896640826873,0.005037783375314861,-0.08596326585333154,0.71,0.72,-0.19,-0.17,0.19,0.22,-3.54,-3.12,-0.02,0.52,2.29,2.82,0.37,0.22,0.04,-1.03,-1.3,-3.22,4,0,1,1,1,1
2022-08-17,0.1857833556218496,0.45230347662270937,0.3780456527314696,-0.1879575402635432,-0.4436958614051973,0.11771166134185304,-1.6673497267759563,-3.84,3.0648769574944073,-1.0,125.72727272727273,2.64,0.010075566750629723,0.034229828850855744,0.01020408163265306,0.020050125313283207,0.851286338701634,-0.5,-0.45,-1.25,-1.21,-0.72,-0.72,0.92,0.49,0.11,3.37,0.52,-0.75,-0.88,-0.67,0.29,-2.48,1.07,1.83,1,0,1,1,1,1
2022-08-18,1.7761776698186866,-2.0347877358490565,0.11827656802531174,0.5210727969348659,1.5807381776239908,0.3115676641357749,-4.340839303991812,-0.7267605633802817,1.3847000550357733,1.0,-0.44404591104734575,-0.6483516483516484,0.02493765586034913,0.009456264775413711,0.03787878787878788,0.03194103194103194,-0.0012993495329472258,0.06,0.05,0.21,0.22,0.23,0.23,0.97,0.92,0.89,-0.56,-2.35,1.06,-0.16,-0.33,0.91,2.28,-1.71,2.71,2,0,1,1,1,1
2022-08-19,-0.9421268085372332,-1.3178347578347578,-0.8117250561704252,-1.0517113646466143,-0.27865921787709497,-0.7463052509705101,-0.30974264705882354,-1.0,-0.4507269789983845,-0.7901785714285714,-1.1896774193548387,-0.03125,0.0170316301703163,-0.00702576112412178,0.0,0.002380952380952381,-0.4904048297144852,-0.87,-0.81,-2.01,-1.88,-1.29,-1.28,2.83,2.01,0.65,3.12,0.94,0.64,-1.44,-0.61,0.66,-2.78,5.32,0.3,3,0,0,0,0,0
2022-08-22,-2.7138228941684663,-5.808533524560774,-4.635138121546961,-10.080229226361032,-1.372366790582404,-1.9747651006711409,2.0703506435863295,-1.0,-1.242016806722689,-8.382978723404255,-1.945578231292517,-1.096774193548387,0.009569377990430622,-0.0047169811320754715,-0.019464720194647202,-0.028503562945368172,0.13037860389812567,-1.9,-1.93,-2.55,-2.7,-2.14,-2.13,1.45,1.49,0.81,1.24,1.69,1.11,-2.25,-1.21,0.59,-3.72,15.53,-0.59,4,0,1,1,1,1
2022-08-23,-3.6550094517958414,0.18850197598985907,-0.5495166879445559,-0.8646260650047334,-0.08985024958402663,-1.0052327182594327,-0.6790748102638237,13.692307692307692,2.2621527777777777,-0.8184438040345822,-0.5683453237410072,-15.0,-0.04976303317535545,-0.014218009478672985,-0.004962779156327543,0.0024449877750611247,-0.15863987550095715,-0.47,-0.47,0.0,-0.1,-0.22,-0.26,0.63,1.56,-0.39,1.1,-0.43,0.51,-1.56,-1.1,-0.32,0.74,1.3,3.89,0,0,0,1,0,1
2022-08-24,-0.8605672243977691,-0.41740385218646087,0.04804318488529015,-4.508158508158508,0.3656307129798903,133.73684210526315,0.37635135135135134,-0.7591623036649214,-0.39861628525811604,-1.0793650793650793,4.616666666666666,-0.7857142857142857,0.014962593516209476,-0.009615384615384616,0.004987531172069825,-0.012195121951219513,-0.20366005368951745,0.19,0.17,0.41,0.26,0.29,0.3,1.84,1.54,0.06,1.71,3.06,0.4,1.24,0.5,0.11,0.07,-5.35,1.23,1,0,1,1,1,1
