,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-10-25,-0.37013329813910517,-0.703125,-0.10215630793248122,-0.44715102732471934,-0.10644831115660185,0.22185970636215335,2.483050847457627,-2.6,-0.1464699683877766,-9.571428571428571,25.4,1.5,1.34,1.36,0.86,1.06,1.19,1.2,-2.92,-2.7,-0.06,0.91,0.97,-0.32,2.08,1.04,1.14,0.64,0.54,-0.55,0.046919428393986815,0.028406778461338822,0.02638837304172578,0.41196893375343674,0.0,1,1,1,1,1
2022-10-26,3.2821372446306967,4.841463414634147,2.5064116496413824,0.2103448275862069,3.546964490263459,7.931241655540721,1.47323600973236,15.625,1.0623456790123458,-1.3,-0.8459595959595959,-0.4719512195121951,1.07,1.05,2.25,2.05,1.63,1.6,-2.23,-1.69,-0.96,-3.45,-0.8,1.14,0.05,-0.05,-1.23,2.26,-4.66,0.87,0.0,0.030386629424214093,0.011431249369709266,0.6989496425373453,1.0,1,1,1,1,1
2022-10-27,-0.8476989699801826,-1.9027579386880562,-0.5471703960825637,-2.0788224121557457,-0.39879077969517573,-0.4997383959937215,-0.28578455484505655,-0.9172932330827067,-0.13409158934450763,-41.111111111111114,-0.32786885245901637,-0.7020785219399538,0.01,-0.02,-2.04,-2.28,-0.74,-0.76,-2.96,-0.05,-1.15,-2.27,-1.22,-0.84,-0.82,0.65,-1.01,-1.18,-4.15,3.04,0.03361540027334322,0.0026829797774574034,0.0310733137829912,-0.4117189395397087,2.0,1,1,0,0,0
2022-10-28,3.0419277108433733,-0.5377312560856865,0.9947299979467524,-4.012030516431925,-0.6241357636706474,1.2155983863738233,-0.6318870523415978,-0.09090909090909091,-0.6052540615278258,-0.9792243767313019,3.5609756097560976,-1.0,0.62,0.63,-1.63,-1.84,-0.61,-0.56,0.35,-0.19,0.82,-2.0,-3.08,0.37,1.74,1.74,0.62,-1.5,0.4,1.33,0.01896750597833732,0.01604370104311814,0.019175417240241643,0.021971302208506946,3.0,1,1,1,1,1
2022-10-29,-0.8624458487341521,-0.4568193786203265,-0.7870303654143078,-0.14885533365806136,-1.4470457079152732,-0.9267651223953065,-4.62956033676333,-1.0,-0.07267950963222417,-0.5333333333333333,1.9893048128342246,-1.0,2.57,2.56,2.87,3.13,2.46,2.4,-2.51,-1.89,0.14,2.12,3.08,0.86,-1.07,-0.89,0.03,3.98,-5.99,-1.32,0.010640765119052879,0.010523267567464198,0.005380395046018005,-0.17516419904263608,4.0,0,0,0,0,0
2022-11-01,1.5249927766541462,-2.45758603974794,0.09134847752537457,-0.8568158406775781,-2.117206982543641,3.634438305709024,-0.6412371134020619,1.0,-0.07743153918791312,-1.0,-0.7620751341681574,6.32258064516129,-0.39,-0.37,-1.03,-1.21,-0.75,-0.72,1.92,2.13,0.74,0.78,0.98,-0.69,1.12,1.11,0.29,-2.02,0.5,-1.56,0.0,0.010419088505479889,0.013367900384715737,-0.025221000067480938,0.0,1,1,1,1,1
2022-11-03,-1.7304514429409652,-3.2808972291452867,-0.6773512861736335,-4.315068493150685,-1.2148285762540112,-4.322291235334713,0.08066394874781596,-1.0,-1.4727085478887745,1.0,-12.2,-0.625,-1.54,-1.55,-3.36,-3.42,-2.5,-2.52,-0.5,0.75,-0.12,1.19,1.33,-0.39,-0.38,0.07,-0.3,-3.09,0.19,1.84,-0.02362346324875752,-0.015625929310242283,-0.01891631033747461,0.1378558623162424,2.0,1,1,0,0,0
2022-11-04,-1.0678688524590163,-0.377297853194498,2.0893802553721583,1.2424793388429751,-1.014937106918239,-0.33859576235978395,-0.9878738884397736,1.0,0.10893246187363835,-1.0,0.8690476190476191,-14.428571428571429,-0.46,-0.5,-1.73,-1.98,-1.06,-1.09,1.28,1.46,1.42,1.29,2.31,-0.07,-0.46,-0.33,0.8,-1.53,-2.17,-2.03,-0.016124441170068483,-0.007936987460109086,-0.0027568850630594562,-0.21437664645751667,3.0,0,0,0,0,0
2022-11-05,7.859903381642512,-1.2228530140379852,-0.4814516129032258,-0.9683791553033095,-27.105263157894736,-2.4032663316582914,5.088888888888889,-2.611111111111111,-1.8860510805500983,1.0,-0.8885350318471338,-1.0106382978723405,1.27,1.28,1.28,1.51,1.36,1.39,-0.59,-1.25,-1.8,0.33,-1.26,-0.41,-0.03,0.83,-1.43,4.6,-2.96,5.04,0.002728613569321534,-0.008000487226903785,0.0110522904681881,-0.2435142550016846,4.0,0,0,0,0,0
2022-11-08,-0.4551526717557252,0.4492820750347383,-0.8248444790046656,-5.17016317016317,-2.963709677419355,-0.8346016114592659,0.2737226277372263,-1.0,0.4035476718403548,-0.6153846153846154,-1.1714285714285715,7.666666666666667,1.31,1.26,0.85,1.14,0.96,0.95,1.86,1.72,-0.71,1.32,1.04,-2.16,0.95,0.99,-0.77,2.18,-0.81,-0.89,0.00817488020547519,0.0026901975230090025,-0.0027342863626049468,0.05128205128205128,0.0,0,0,0,0,0
2022-11-09,-4.90843132349262,-2.0421860019175457,-14.663706992230855,6.373392956959195,-1.1858316221765914,-2.7388362652232745,5.07163323782235,-1.0,-0.6856240126382307,-1.0,8.666666666666666,-1.3076923076923077,1.01,1.03,0.49,0.73,0.56,0.52,-0.61,0.52,-0.41,-2.14,-1.5,2.69,1.83,1.15,-1.25,2.15,4.89,-3.14,-0.005403858455944244,0.010726352761743604,0.008219661202061457,0.23276644677116745,1.0,1,1,1,1,1
2022-11-10,-0.8742798617334528,-1.6709598282735356,-0.6431646495004467,-0.5336214085361232,-5.458563535911602,-0.5058365758754864,-0.6956111373289288,-1.0,3.6231155778894473,-1.0,-3.189655172413793,13.375,-1.95,-1.95,-2.48,-2.38,-2.08,-2.08,-1.74,-2.34,0.84,-0.7,-1.62,0.07,0.18,1.06,-0.28,-3.14,2.15,-3.46,0.024457947563514496,0.0026489993281124365,0.010866437602613362,-0.16346736053152666,2.0,0,0,0,0,0
2022-11-11,2.5468431771894093,-0.4026508226691042,0.8950603232415206,-0.5737971391417426,-3.154894671623296,4.5165354330708665,-1.5534883720930233,-1.0,-1.2032608695652174,-1.0,-0.6771653543307087,-0.9043478260869565,3.68,3.64,7.35,7.4,5.54,5.47,-1.9,-0.94,-2.14,-7.03,-5.49,-0.17,-0.95,-0.91,-1.55,10.21,-9.81,0.75,0.005303505931335294,0.013231974250105735,0.0026901975230090025,0.5889314918424039,3.0,0,0,0,0,0
2022-11-15,-2.3689418487160725,-3.0640360766629087,-1.7284126885591906,-1.2178907964373307,5.531128404669261,3.0399361022364215,-2.7642752562225477,-7.888888888888889,-2.3705882352941177,3.619047619047619,-0.38580246913580246,-5.6923076923076925,-0.63,-0.6,-1.12,-0.96,-0.89,-0.86,0.69,0.77,0.35,-0.87,-0.24,0.07,-0.23,-0.34,0.77,-0.97,5.37,-3.47,-0.007833336947329617,-0.007732400094180098,-0.029023616612158364,0.24001933513501636,0.0,0,0,0,0,0
2022-11-16,-1.4387884958004582,-1.6946689971597115,-0.8762570308505199,-2.6039691943127963,-0.0068513553768245455,-0.44286279161724,-0.1941908713692946,-1.0,-0.28397711015736765,-1.7783505154639174,-0.07788944723618091,-1.0590163934426229,0.17,0.13,1.45,1.44,0.87,0.84,-1.4,-2.32,-0.22,-2.23,-1.25,1.34,2.11,0.23,-0.58,3.03,3.41,1.22,-0.018423913934314265,-0.018184661680085853,0.005433218801306681,-0.3343816999486153,1.0,1,1,1,1,0
2022-11-19,-6.873366834170854,-3.9368421052631577,-1.4635678391959799,-0.012524719841793012,-0.3426160337552743,89.625,0.01463963963963964,1.0,-0.6945812807881774,3.3333333333333335,-1.1730769230769231,-3.6578947368421053,0.6,0.58,0.01,-0.02,0.48,0.47,-1.12,0.13,0.22,1.58,1.58,0.38,-0.76,0.06,-0.22,0.18,-3.38,-1.91,0.005569435769310847,-0.008219661202061457,-0.00835704536516529,-0.4063342130851507,4.0,0,0,0,0,0
2022-11-22,-0.6690622861054073,-0.6666666666666666,-0.5447154471544715,2.171562082777036,-3.0577663671373556,-0.08229885057471265,0.3895671476137625,0.23958333333333334,4.806451612903226,-0.8076923076923077,1.2698412698412698,-1.118811881188119,-0.14,-0.12,-1.09,-1.02,-0.39,-0.4,-0.87,0.8,0.85,0.68,0.9,-1.76,-1.82,-1.02,1.46,-1.77,-3.29,-0.44,-0.008305007735620085,-0.002764506489707662,-0.014043846194222661,0.003322570078150592,0.0,0,0,0,0,0
2022-11-23,2.197518097207859,-0.4796633941093969,-15.8125,-0.4361187118501368,-1.2233312538989396,-1.8216432865731462,-1.1118210862619808,-0.907563025210084,-1.9222222222222223,-37.8,-1.06993006993007,-9.666666666666666,1.18,1.16,1.36,1.44,1.36,1.32,0.19,0.85,-0.57,-2.14,-0.88,2.25,-0.88,-0.59,-0.49,3.03,-4.79,1.53,-0.016760716129144506,-0.008305007735620085,0.0,0.09545242537313432,1.0,0,0,0,0,0
2022-11-24,-3.028945666235446,-4.598382749326146,-2.7221217600964436,-2.0261291526689065,-4.61731843575419,-2.720731707317073,-6.671428571428572,-1.5454545454545454,-3.6716867469879517,-0.8967391304347826,-1.3,-0.75,0.28,0.25,0.99,0.92,0.59,0.57,0.34,1.07,-1.07,-1.83,-1.09,0.07,1.87,0.53,-1.17,1.07,-4.42,-3.72,0.01136035201755369,-0.005590771746884189,-0.014243885126142379,0.16424328869776256,2.0,0,0,0,0,0
2022-11-26,-1.240282077743378,-1.1612008072653885,-1.2783372063000258,-1.3372026641294006,-0.802962962962963,-1.6137184115523466,-4.4222222222222225,-1.0,-0.42142857142857143,-1.0,-1.4222222222222223,-0.5405405405405406,0.44,0.27,-0.52,-1.13,-0.03,-0.28,0.0,-1.1,-0.05,0.8,0.6,-1.27,-0.63,-0.14,0.59,-1.26,0.39,-2.14,0.01136035201755369,0.0,-0.005686074426231442,-0.23668801235890663,4.0,0,0,0,0,0
2022-11-29,-0.46349319971367214,-8.198748043818467,2.042207792207792,-0.11512415349887133,-2.93609022556391,-11.588235294117647,-0.15367965367965367,-1.0,-3.2786596119929454,-1.0,21.31578947368421,-3.0588235294117645,-1.45,-1.41,-1.58,-1.41,-1.54,-1.54,-0.08,1.14,0.68,-0.4,-0.42,-0.2,-2.13,-1.21,0.39,-2.63,8.34,1.26,-0.008427474148941754,-0.013971129811456443,-0.01713797583242868,0.3612326173532676,0.0,0,0,0,0,0
2022-11-30,-10.827218145430287,1.1330434782608696,-1.755755450525995,-4.197066326530612,-1.203883495145631,-1.4816666666666667,-0.11935208866155157,-1.0,-0.9976780185758514,-1.0575539568345325,-1.1297169811320755,-0.5142857142857142,0.0,-0.04,-0.59,-0.79,-0.16,-0.21,1.72,1.65,0.13,1.91,0.83,-0.41,1.34,1.04,-1.07,-0.3,-1.44,1.24,-0.028326412497500265,0.005669987883635851,-0.0029091523623282875,-0.1347242206235012,1.0,1,1,1,1,1
2022-12-07,-0.32375478927203066,-2.1478260869565218,-3.99163179916318,-4.397404703974047,-0.70298769771529,-2.3114949374627756,0.7025052192066806,-1.0,3.239130434782609,-1.0,8.071428571428571,-1.435897435897436,-1.03,-1.04,-2.0,-2.03,-1.44,-1.46,-1.71,0.37,0.29,-1.43,-0.67,1.37,-1.89,-1.08,1.1,-2.36,6.84,-3.79,-0.00859648287842372,-0.0028511431191032503,0.0,0.12485756608933454,1.0,0,0,0,0,0
2022-12-08,-9.756373937677054,0.6744107744107745,-1.7102352193261283,-1.7555502506564813,-1.4201183431952662,-0.8256130790190735,-2.4954015941140404,1.0,-0.4666666666666667,-0.9468599033816425,-1.5511811023622046,-1.2058823529411764,0.0,-0.02,-0.51,-0.49,-0.19,-0.21,0.2,-0.4,-0.46,-3.14,-2.34,-1.6,-0.18,-0.43,-0.41,-0.01,2.3,-2.54,-0.0028923412962729603,0.005718590758899705,-0.008721421501170903,0.23065819130346696,2.0,1,1,1,0,0
2022-12-09,-0.4764801035263669,-1.1189422883571285,0.7670963122090941,6.702685624012638,174.08450704225353,-4.5078125,-2.870848708487085,-1.3498542274052479,11.0,-2.0,7.8,-3.7142857142857144,0.55,0.53,1.13,1.18,0.75,0.74,0.48,0.96,-0.29,2.01,1.16,-0.72,-0.78,-0.49,0.11,2.67,-1.72,-0.72,0.017392350976439083,0.005680176008776845,0.02052496666443415,0.7246424529272559,3.0,1,1,1,0,0
2022-12-10,1.875046347793845,11.725274725274724,2.880457907000304,-1.0094753681447146,-3.278658193226611,-1.4550853749072012,-2.7056760902914747,-1.0,1.4375,-1.2727272727272727,-1.0081168831168832,-0.631578947368421,-0.9,-0.9,-0.7,-0.65,-0.73,-0.74,-2.32,-0.45,0.04,2.76,0.66,0.56,0.98,0.76,-0.91,-0.86,2.42,-0.78,0.008547514122622816,0.01977126099706745,0.005745480579917666,-0.07403739455189777,4.0,1,1,1,1,1
2022-12-15,0.5536223188840558,-0.9052565967172241,4.104166666666667,1.9457900807381776,0.20850040096230954,-1.7496490407112775,-0.03571428571428571,-1.0,1.7991329479768785,-1.0,-15.258064516129032,-8.307692307692308,-0.43,-0.41,-0.76,-0.75,-0.61,-0.6,-1.79,-2.52,-0.2,-0.63,0.04,-0.3,1.94,1.13,0.49,-1.57,-6.25,2.77,0.008427474148941754,0.022221581406078782,0.019883565239446257,0.7104218129514399,2.0,1,1,1,1,0
2022-12-16,-0.9710368797065071,7.712719298245614,-1.3691261119832547,-2.010767423649178,-0.7803583278035833,0.21161048689138576,-4.654320987654321,-1.0,-0.7072792978833248,-0.9785553047404063,-1.251131221719457,-0.631578947368421,-2.25,-2.3,-3.23,-3.43,-2.49,-2.53,-0.23,-0.46,0.76,-0.84,0.58,-0.41,-0.87,-1.6,1.78,-4.17,7.99,-1.32,0.013926481134476138,-0.002719430386531485,0.0,-0.36414325149448823,3.0,0,0,0,0,0
2022-12-17,24.526666666666667,2.401963251950667,0.6302806918060675,-0.38775905481309314,-2.9546827794561934,-1.8815043791859867,-0.7947635135135135,-1.0,-0.6155202821869489,6.473684210526316,-0.009009009009009009,-1.0571428571428572,-0.85,-0.74,-0.97,-0.18,-1.11,-0.66,-1.09,0.3,0.12,1.09,-1.37,-0.81,-0.73,-0.04,-0.69,-0.95,-0.92,-2.36,-0.030219717538615985,-0.02451898325988199,-0.01671409073033058,0.32792823874417804,4.0,0,0,0,0,0
2022-12-20,-1.8275006529119875,-1.0344036697247707,0.059130434782608696,0.2366339765896868,0.7047913446676971,-0.5277615429573349,1.5473251028806585,-1.0,1.4311926605504588,0.2676056338028169,-1.809090909090909,64.0,-0.5,0.02,-1.49,-1.18,-0.9,-0.67,1.19,0.16,-0.06,2.24,1.39,-0.8,-0.03,-0.33,-0.62,-1.37,-0.88,1.93,0.016998200190568056,0.013965330255702414,0.011334094037101955,-0.05048930458127652,0.0,0,0,0,0,0
2022-12-29,-2.230929712096499,-8.960076045627376,-1.8308755201810027,-1.8069341212317067,-3.069064748201439,-0.26587448941700703,0.6331081081081081,1.4339622641509433,-0.6949022614028363,1.0,9.50943396226415,-7.2631578947368425,-1.1,-1.11,-1.35,-1.31,-1.2,-1.23,1.74,0.48,0.28,0.98,-0.58,3.39,-1.68,-2.24,0.2,-1.47,2.26,-1.47,-0.003167450173118552,-0.005616372045280906,-0.02136925017252457,-0.1889784270013792,2.0,0,0,0,0,0
