,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr,r_open_high
2022-09-28,-1.228197432049358,-0.9126577084829213,-0.4689808842500293,-0.6398826642125849,-2.042871900826446,-0.0783132530120482,-0.5725582389399444,-6.0,19.607142857142858,-1.1330275229357798,-1.099273607748184,-0.1319796954314721,-0.02406417112299465,-0.008,0.008310249307479225,0.019178082191780823,-0.44362461436120565,1.87,1.87,2.05,1.96,1.97,1.94,0.59,-1.25,-1.35,-5.37,-3.74,1.38,-3.47,-2.45,-0.13,1.22,-7.42,4.65,1,2,0,0
2022-09-29,-7.10230179028133,3.578978273634762,-3.0870141342756185,-1.9292445296278549,-1.6186230807330362,-0.3010893246187364,-1.808,172.0,-3.563258232235702,0.7931034482758621,5.073170731707317,-1.286549707602339,0.00821917808219178,-0.008064516129032258,-0.024725274725274724,-0.03494623655913978,0.27895273011205934,-1.53,-1.56,-2.84,-2.83,-2.11,-2.08,-0.09,1.38,-0.27,1.19,1.59,-1.78,0.18,0.08,0.39,-3.29,5.5,-1.12,2,3,1,0
2022-09-30,-1.4337205125134715,-2.6572197999487046,-0.37947089947089946,-1.5101409419044345,-0.6901521216973578,3.521197007481297,-1.1540841584158417,-0.9965317919075144,-0.2582826233941853,-4.0,-0.6265060240963856,-1.0204081632653061,-0.008152173913043478,-0.0027100271002710027,0.01971830985915493,0.011142061281337047,-0.3784555947724888,-1.7,-1.65,-1.51,-1.72,-1.51,-1.44,-2.79,-2.66,-0.11,1.25,1.91,-0.94,-0.36,-0.71,0.7,-1.73,-0.69,-2.14,3,1,0,1
2022-10-04,-4.707344008834898,-1.8582372514122107,1.7517053206002728,-1.248989218328841,9.074935400516797,-0.005515719801434087,11.919678714859439,3.6666666666666665,-0.0601640838650866,-1.1602564102564104,-0.42473118279569894,-265.0,-0.00821917808219178,-0.005434782608695652,-0.03867403314917127,-0.027548209366391185,0.3678681328800657,2.8,2.8,3.34,3.15,3.06,3.06,-1.84,-2.51,-1.5,-0.21,-0.41,4.43,3.59,2.5,-1.25,4.46,-3.42,3.46,4,2,1,1
2022-10-05,-1.0446455168305033,-1.2445225858804436,-0.8764873574615766,-3.449255751014885,-0.6596563221338805,0.18275097060454798,-3.618277898663351,-1.0,1.2987390882638215,-1.0,3.7663551401869158,-1.1174242424242424,-0.011049723756906077,0.0,0.020114942528735632,0.0169971671388102,-0.16142966939876915,-0.14,-0.18,-0.25,-0.15,-0.2,-0.24,1.52,0.34,0.94,3.3,1.21,-0.09,-1.64,0.26,0.01,0.94,-1.79,1.43,1,1,0,0
2022-10-06,-15.35279399499583,1.2986725663716814,10.851480180632212,-11.825414364640883,2.4604370761115297,-0.42954279015240326,-0.11801021013890538,-1.0,-0.3886075949367089,-1.0,-0.8784313725490196,-4.709677419354839,0.025139664804469275,0.00546448087431694,-0.030985915492957747,-0.013927576601671309,0.3506047793625733,-1.15,-1.08,-0.68,-0.71,-1.02,-0.98,0.84,0.07,1.06,1.94,2.65,-0.32,3.02,1.02,-0.52,-0.59,6.9,0.79,2,3,1,0
2022-10-07,-0.6659887268289848,0.5513314084055181,-0.31206604572396274,-0.8822598754720833,0.6661585365853658,-1.8000411015207562,-2.2525238928523352,-1.58348623853211,-0.1766735679779158,0.3333333333333333,12.451612903225806,-1.0347826086956522,-0.027247956403269755,-0.024456521739130436,0.01744186046511628,0.005649717514124294,-0.4617525992777995,-2.1,-2.1,-3.8,-3.81,-2.8,-2.76,2.78,2.08,0.45,1.56,1.32,-0.09,-1.07,-0.22,1.18,-6.06,2.75,4.74,3,4,0,0
2022-10-11,1.1988517745302714,-0.6702512666735602,0.042894947381377314,0.964456003467707,-0.33564239968631554,-0.6609298741330594,-0.2265448683503493,-0.940251572327044,0.2355406538139145,-1.0,0.46522781774580335,25.0,-0.011204481792717087,-0.016713091922005572,-0.005714285714285714,-0.014044943820224719,-0.018736828543294407,0.12,0.02,-1.1,-1.27,-0.65,-0.72,2.23,2.82,0.05,-0.25,0.0,0.45,-4.15,-1.83,0.27,-2.5,3.64,-1.95,4,2,0,0
2022-10-12,1.9010997705514676,-3.3054248980871748,0.6438687595892836,0.11738746690203,1.177650993507771,-5.906060606060606,-0.7278032513547311,1.631578947368421,0.02103120759837178,-1.0,-2.216857610474632,-1.2788461538461537,-0.036827195467422094,-0.0339943342776204,-0.04597701149425287,-0.042735042735042736,0.8027985407073256,-0.1,-0.02,-0.09,-0.04,-0.33,-0.3,-4.34,-4.44,0.08,-1.08,-0.44,5.23,0.32,0.47,-0.48,-0.9,-0.18,-2.33,1,2,0,1
2022-10-13,-0.6438214198052745,-0.9963275299238302,-0.5170693183041964,-0.07010268562401265,-0.9770530309874425,0.21031500926497837,-0.9780500255232262,-0.48,-0.5787375415282392,-1.0,-0.38802958977807667,44.86206896551724,-0.020588235294117647,-0.005865102639296188,-0.0030120481927710845,0.0,-0.28456980549038374,2.83,2.84,2.23,2.24,2.6,2.6,3.13,2.07,-0.86,1.21,3.96,2.04,-2.99,-1.8,0.44,2.94,-4.86,2.11,2,2,0,0
