,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-07-29,-1.4673105497771173,0.03229974160206718,-0.6707189996526571,-0.8907664453832227,0.94880174291939,-2.287671232876712,-1.9536290322580645,-1.0,14.369565217391305,-1.0,1.75,-1.0,-0.007290400972053463,-0.0012121212121212121,-0.002442002442002442,-0.0012165450121654502,-0.2566615620214395,0.98,1.03,1.88,1.84,1.42,1.47,-2.19,-3.88,-0.42,-0.48,0.77,-0.54,0.66,0.67,0.58,0.77,-4.48,2.28,3,2,0,0,0,0
2022-08-01,-0.17170111287758347,2.0663329161451816,3.5875527426160336,12.027624309392266,-0.19843487982112912,-0.5053191489361702,-1.3002114164904863,-1.0,-1.495049504950495,0.3333333333333333,0.0,1.0,0.009791921664626682,0.0024271844660194173,0.0,-0.00243605359317905,0.9449526163988463,-0.14,-0.18,-0.18,-0.07,-0.28,-0.31,1.95,2.25,-0.43,-3.1,-1.18,0.32,0.5,0.03,0.33,0.38,7.08,-4.8,4,2,0,0,0,0
2022-08-03,-1.3474679682733375,-1.2581724190360346,-4.329479768786127,-19.07843137254902,-5.285198555956678,-6.514285714285714,-2.9263157894736844,1.0,-0.34513274336283184,-0.43783783783783786,-0.9735099337748344,-0.9767441860465116,0.0,0.0085995085995086,0.0024691358024691358,0.007398273736128237,-0.09089932885906041,1.28,1.25,2.59,2.68,1.56,1.53,1.29,1.75,0.26,-1.52,0.2,-1.82,1.37,0.89,-0.3,2.65,-8.27,-3.98,1,2,0,0,0,0
2022-08-04,-5.419666374012292,-5.35924617196702,-5.677083333333333,-0.8785249457700651,-1.1449031171019377,-3.989637305699482,-1.144808743169399,-1.0,-7.918918918918919,-1.0096153846153846,0.5,21.0,0.007389162561576354,0.0,-0.003694581280788177,-0.008567931456548347,0.43952279707063546,-0.26,-0.27,0.41,0.42,-0.08,-0.1,0.16,1.04,-0.73,-0.47,-0.66,-1.77,1.2,0.47,-0.41,0.92,-2.32,-2.34,2,2,0,0,0,0
2022-08-08,-1.1483327884929715,-1.1530291443623077,-1.030612244897959,-1.0400219298245614,-0.4705240174672489,0.42132867132867136,-17.24,1.0,-2.853448275862069,-0.9802631578947368,-0.8738738738738738,-2.888888888888889,-0.0012300123001230013,-0.0036719706242350062,0.0037220843672456576,0.004956629491945477,-0.35926387565070755,0.09,0.11,-0.1,-0.34,-0.12,-0.12,2.02,1.57,-0.15,-2.91,-1.26,-0.33,-0.09,0.09,-0.24,-1.61,0.66,1.97,4,3,1,1,1,0
2022-08-09,0.4534435261707989,0.4425319267073848,-0.3888888888888889,-28.041095890410958,1.1154639175257732,-2.179581795817958,-1.6970443349753694,-1.2,-1.4062015503875969,-1.7916666666666667,0.9285714285714286,-1.1176470588235294,-0.0024630541871921183,0.002457002457002457,-0.002472187886279357,0.002466091245376079,-0.2727428767593546,-0.17,-0.17,-1.19,-1.15,-0.42,-0.42,-0.31,0.32,-0.06,1.06,1.81,4.11,0.34,0.42,0.54,-4.57,2.25,-0.29,0,4,0,1,0,0
2022-08-10,-2.88248673237301,-2.4149345650500385,-122.54545454545455,-1.1914893617021276,-1.0087719298245614,-2.1470281543274243,-2.477031802120141,-1.0,-0.9083969465648855,7.578947368421052,0.5925925925925926,1.5,0.0,-0.0012254901960784314,0.0037174721189591076,-0.0036900369003690036,0.2703957202423098,1.63,1.6,2.89,2.77,2.13,2.07,1.39,0.77,-1.11,0.2,-1.45,-1.37,-1.6,-0.9,-0.67,4.25,-9.32,1.58,1,2,0,0,0,0
2022-08-11,-0.8860249697946033,-0.544069640914037,-1.8182498130142108,-1.1719576719576719,28.88888888888889,-2.3572727272727274,-1.0167464114832536,-1.0,1.75,-1.0,-0.7906976744186046,0.4,0.003703703703703704,0.0,0.0,0.0,-0.05499133019568987,0.08,0.13,-0.58,-0.6,-0.07,-0.01,0.84,-0.96,-0.08,3.76,0.2,-1.5,1.45,1.73,0.6,-0.34,2.33,2.62,2,3,1,0,1,0
2022-08-17,-1.8582615505090054,-1.4563953488372092,-1.7404202719406674,-0.9732753262896209,-1.9240924092409242,-2.5041876046901175,-0.9233128834355828,-0.8,-0.9927927927927928,-1.0,9.0,-1.625,0.007380073800738007,0.0024479804161566705,0.0012300123001230013,0.0,-0.08099973828840618,-0.5,-0.45,-1.25,-1.21,-0.72,-0.72,0.92,0.49,0.11,3.37,0.52,-0.75,-0.88,-0.67,0.29,-2.48,1.07,1.83,1,2,0,0,0,0
2022-08-18,1.1395985401459854,-19.8343949044586,-1.4724540901502505,34.325581395348834,1.5964285714285715,-0.8518930957683741,-2.96,-1.0,34.5,-1.0,-1.98,-0.4,-0.001221001221001221,0.0,-0.002457002457002457,-0.004895960832313341,0.011391143386017372,0.06,0.05,0.21,0.22,0.23,0.23,0.97,0.92,0.89,-0.56,-2.35,1.06,-0.16,-0.33,0.91,2.28,-1.71,2.71,2,3,0,0,0,0
