ixic,ixic_cr,ixic_f,ixic_f_cr,dji,dji_cr,dji_f,dji_f_cr,spx,spx_cr,spx_f,spx_f_cr,kospi,kospi_cr,kosdaq,kosdaq_cr,wti,dxy,krw,bond_usa_10,bond_usa_2,bond_usa_3m,bond_kor_10,bond_kor_2,vix,vix_cr,f_g_index,sox,sox_cr,cpi,cpi_anticipated,cpi_previous,pp,pp_cr,pp_con_num,fp,fp_cr,fp_con_num,itp,itp_cr,itp_con_num,penp,penp_cr,penp_con_num,pep,pep_cr,pep_con_num,gold,gold_cr,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,fed_rate,fed_rate_ann,fed_rate-imp,bok_rate,bok_rate_ann,bok_rate-imp,fu_date,op_date,open,high,high_time,low,low_time,close,vol,vol_cr
"13,716.72",-2.88%,,,"34,312.03",-1.78%,,,"4,380.26",-2.12%,,,"2,744.09",0.53%,874.22,-0.45%,,,,,,,,,28.110001,,29.0,"3,422.60",-3.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,548.07",-1.23%,,,"34,079.18",-0.68%,,,"4,348.87",-0.72%,,,"2,744.52",0.02%,881.71,0.86%,,,,,,,,,27.75,,30.0,"3,384.30",-1.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"2,743.80",-0.03%,884.25,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,381.52",-1.23%,,,"33,596.61",-1.42%,,,"4,304.74",-1.01%,,,"2,706.79",-1.35%,868.11,-1.83%,,,,,,,,,28.809999,,28.0,"3,356.10",-0.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,037.49",-2.57%,,,"33,131.76",-1.38%,,,"4,225.50",-1.84%,,,"2,719.53",0.47%,877.33,1.06%,,,,,,,,,31.02,,21.0,"3,277.80",-2.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,473.58",3.34%,,,"33,223.83",0.28%,,,"4,288.70",1.50%,,,"2,648.80",-2.60%,848.21,-3.32%,,,,,,,,,30.32,,22.0,"3,399.20",3.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,694.62",1.64%,,,"34,058.75",2.51%,,,"4,384.62",2.24%,,,"2,676.76",1.06%,872.98,2.92%,,,,,,,,,27.59,,32.0,"3,452.70",1.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,751.40",0.41%,,,"33,892.60",-0.49%,,,"4,373.79",-0.25%,,,"2,699.18",0.84%,881.07,0.93%,,,,,,,,,30.15,,30.0,"3,429.50",-0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,532.46",-1.59%,,,"33,294.95",-1.76%,,,"4,306.26",-1.54%,,,,,,,,,,,,,,,33.32,,24.0,"3,304.80",-3.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,752.02",1.62%,,,"33,891.35",1.79%,,,"4,386.54",1.86%,,,"2,703.52",0.16%,895.45,1.63%,,,,,,,,,30.74,,21.0,"3,416.20",3.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,537.94",-1.56%,,,"33,794.66",-0.29%,,,"4,363.49",-0.53%,,,"2,747.08",1.61%,912.32,1.88%,,,,,,,,,30.48,,22.0,"3,339.80",-2.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,313.44",-1.66%,,,"33,614.80",-0.53%,,,"4,328.87",-0.79%,,,"2,713.43",-1.22%,900.96,-1.25%,,,,,,,,,31.98,,21.0,"3,258.90",-2.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,830.96",-3.62%,,,"32,817.38",-2.37%,,,"4,201.09",-2.95%,,,"2,651.31",-2.29%,881.54,-2.16%,,,,,,,,,36.450001,,17.0,"3,098.90",-4.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,795.55",-0.28%,,,"32,632.64",-0.56%,,,"4,170.62",-0.73%,,,"2,622.40",-1.09%,870.14,-1.29%,,,,,,,,,35.130001,,18.0,"3,156.90",1.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,255.55",3.59%,,,"33,286.25",2.00%,,,"4,277.88",2.57%,,,,,,,,,,,,,,,32.450001,,21.0,"3,282.20",3.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
