"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 05- 29","106,000","106,000","106,000","106,000","","0.00%"
"2022- 05- 27","106,000","105,500","107,000","105,000","3.67M","2.91%"
"2022- 05- 26","103,000","107,500","108,500","101,500","8.45M","-4.63%"
"2022- 05- 25","108,000","109,500","110,000","107,000","4.12M","-0.46%"
"2022- 05- 24","108,500","111,500","112,000","108,500","4.46M","-3.98%"
"2022- 05- 23","113,000","112,500","113,500","111,000","0.19K","0.44%"
"2022- 05- 20","112,500","111,500","113,000","111,000","2.38M","1.35%"
"2022- 05- 19","111,000","110,500","112,500","110,000","3.66M","-2.20%"
"2022- 05- 18","113,500","114,000","115,000","113,000","0.08K","0.89%"
"2022- 05- 17","112,500","111,000","113,000","110,500","2.00M","1.81%"
"2022- 05- 16","110,500","113,500","114,000","110,000","4.90K","-1.78%"
"2022- 05- 13","112,500","109,000","112,500","109,000","3.99M","3.21%"
"2022- 05- 12","109,000","109,500","111,500","108,500","1.75K","-1.36%"
"2022- 05- 11","110,500","110,000","112,500","108,000","0.18K","0.45%"
"2022- 05- 10","110,000","107,000","111,000","107,000","4.11M","2.33%"
"2022- 05- 09","107,500","107,000","109,000","106,500","2.19M","0.00%"
"2022- 05- 08","107,500","107,500","107,500","107,500","","0.00%"
"2022- 05- 06","107,500","108,000","108,500","106,500","2.47M","-1.83%"
"2022- 05- 05","109,500","109,500","109,500","109,500","","0.00%"
"2022- 05- 04","109,500","110,500","111,000","108,500","2.46M","-0.45%"
"2022- 05- 03","110,000","111,000","112,000","109,500","2.66M","-0.45%"
"2022- 05- 02","110,500","110,000","111,500","110,000","2.15M","-1.78%"
"2022- 05- 01","112,500","112,500","112,500","112,500","","0.00%"
"2022- 04- 29","112,500","110,000","112,500","109,500","3.74M","2.74%"
"2022- 04- 28","109,500","109,500","110,000","108,000","2.76M","0.92%"
"2022- 04- 27","108,500","108,000","109,500","107,500","3.22M","-2.25%"
"2022- 04- 26","111,000","109,500","111,000","108,000","2.95M","2.78%"
"2022- 04- 25","108,000","109,000","109,500","108,000","2.26M","-2.26%"
"2022- 04- 24","110,500","110,500","110,500","110,500","","0.00%"
"2022- 04- 22","110,500","110,500","112,000","110,500","2.35M","-2.21%"
"2022- 04- 21","113,000","112,500","115,000","112,500","3.18M","0.44%"
"2022- 04- 20","112,500","112,500","113,000","111,000","2.90M","0.00%"
"2022- 04- 19","112,500","110,000","112,500","109,500","2.99M","3.21%"
"2022- 04- 18","109,000","107,000","109,500","106,500","2.64M","0.93%"
"2022- 04- 17","108,000","108,000","108,000","108,000","","0.00%"
"2022- 04- 15","108,000","108,000","108,500","107,000","3.67M","-1.82%"
"2022- 04- 14","110,000","113,000","113,000","110,000","4.65M","-2.65%"
"2022- 04- 13","113,000","112,000","113,000","111,000","2.46M","1.80%"
"2022- 04- 12","111,000","110,500","113,000","110,500","2.69M","-0.45%"
"2022- 04- 11","111,500","111,000","113,000","110,500","2.37M","-0.45%"
"2022- 04- 08","112,000","113,000","114,000","110,500","4.20M","-1.32%"
"2022- 04- 07","113,500","111,500","114,500","110,500","5.00M","0.44%"
"2022- 04- 06","113,000","114,500","115,500","113,000","4.49M","-3.00%"
"2022- 04- 05","116,500","117,500","118,000","116,000","2.09M","-0.43%"
"2022- 04- 04","117,000","115,000","117,500","114,500","2.33M","0.86%"
"2022- 04- 01","116,000","117,000","117,500","116,000","3.81M","-1.69%"
"2022- 03- 31","118,000","119,500","120,000","117,500","4.46M","-2.48%"
"2022- 03- 30","121,000","123,000","123,000","120,500","3.41M","0.83%"
"2022- 03- 29","120,000","119,500","120,500","118,500","3.26M","1.69%"
