,date,bond_usa_2,open,high,low,bond_usa_2_cr
186,2020-08-13,0.1649,0.159,0.167,0.155,2.49%
187,2020-08-14,0.147,0.165,0.167,0.145,-10.86%
188,2020-08-16,0.147,0.147,0.147,0.147,0.00%
189,2020-08-17,0.1531,0.147,0.153,0.143,4.15%
190,2020-08-18,0.1451,0.155,0.155,0.143,-5.23%
191,2020-08-19,0.1451,0.141,0.147,0.139,0.00%
192,2020-08-20,0.1431,0.141,0.145,0.133,-1.38%
193,2020-08-21,0.1473,0.147,0.149,0.137,2.94%
194,2020-08-23,0.1452,0.1473,0.1473,0.1452,-1.43%
195,2020-08-24,0.1554,0.145,0.157,0.143,7.02%
196,2020-08-25,0.1534,0.157,0.17,0.149,-1.29%
197,2020-08-26,0.1524,0.15,0.16,0.15,-0.65%
198,2020-08-27,0.1602,0.15,0.162,0.139,5.12%
199,2020-08-28,0.1328,0.16,0.164,0.129,-17.10%
200,2020-08-30,0.1289,0.1289,0.1289,0.1289,-2.94%
201,2020-08-31,0.1328,0.131,0.137,0.129,3.03%
202,2020-09-01,0.1328,0.135,0.141,0.131,0.00%
203,2020-09-02,0.1348,0.131,0.141,0.131,1.51%
204,2020-09-03,0.127,0.135,0.141,0.123,-5.79%
205,2020-09-04,0.1468,0.131,0.153,0.129,15.59%
206,2020-09-07,0.1408,0.1408,0.1408,0.1408,-4.09%
207,2020-09-08,0.1429,0.141,0.145,0.135,1.49%
208,2020-09-09,0.1468,0.141,0.149,0.139,2.73%
209,2020-09-10,0.1389,0.145,0.151,0.139,-5.38%
210,2020-09-11,0.129,0.141,0.143,0.129,-7.13%
211,2020-09-13,0.131,0.131,0.131,0.131,1.55%
212,2020-09-14,0.137,0.133,0.139,0.129,4.58%
213,2020-09-15,0.141,0.139,0.143,0.137,2.92%
214,2020-09-16,0.139,0.141,0.143,0.133,-1.42%
215,2020-09-17,0.139,0.137,0.139,0.127,0.00%
216,2020-09-18,0.1411,0.137,0.143,0.131,1.51%
217,2020-09-21,0.1391,0.149,0.149,0.133,-1.42%
218,2020-09-22,0.1371,0.137,0.141,0.133,-1.44%
219,2020-09-23,0.1406,0.137,0.143,0.133,2.55%
220,2020-09-24,0.1367,0.141,0.141,0.135,-2.77%
221,2020-09-25,0.1309,0.137,0.137,0.125,-4.24%
222,2020-09-27,0.1328,0.1309,0.1328,0.1309,1.45%
223,2020-09-28,0.1289,0.133,0.135,0.127,-2.94%
224,2020-09-29,0.127,0.129,0.131,0.125,-1.47%
