,date,ixf,open,high,low,volume,ixf_cr
168,2022-08-22,5133.4,5171.4,5181.7,5123.9,,-2.18
169,2022-08-23,5118.7,5135.6,5166.9,5117.0,,-0.29
170,2022-08-24,5140.6,5118.6,5164.8,5108.0,,0.43
171,2022-08-25,5214.0,5160.2,5222.0,5151.5,,1.43
172,2022-08-26,5067.4,5235.7,5236.0,5067.4,,-2.81
173,2022-08-29,5009.8,5034.6,5054.7,5001.1,,-1.14
174,2022-08-30,4996.8,5035.1,5036.4,4959.4,,-0.26
175,2022-08-31,4982.2,5026.4,5041.7,4975.6,,-0.29
176,2022-09-01,4974.9,4954.8,4977.0,4892.3,,-0.15
177,2022-09-02,4921.9,5025.3,5051.5,4901.5,,-1.07
178,2022-09-06,4895.3,4933.9,4936.1,4858.6,,-0.54
179,2022-09-07,5003.5,4889.0,5006.3,4887.8,,2.21
180,2022-09-08,5091.6,4955.1,5091.6,4947.8,,1.76
181,2022-09-09,5161.0,5126.4,5170.1,5124.7,,1.36
182,2022-09-12,5201.0,5170.3,5223.8,5166.2,,0.77
183,2022-09-13,5016.5,5081.5,5102.6,5002.4,,-3.55
184,2022-09-14,5022.9,5030.7,5035.6,4972.8,,0.13
185,2022-09-15,5036.1,5014.9,5104.0,5014.7,,0.26
186,2022-09-16,4964.9,4984.0,4984.5,4925.3,,-1.41
187,2022-09-19,5020.3,4914.2,5024.0,4913.4,,1.12
188,2022-09-20,4964.6,4982.0,4993.5,4926.6,,-1.11
189,2022-09-21,4890.8,4984.8,5032.9,4890.6,,-1.49
190,2022-09-22,4798.6,4904.8,4907.9,4784.2,,-1.89
191,2022-09-23,4720.6,4750.3,4751.9,4654.2,,-1.63
192,2022-09-26,4663.9,4692.9,4736.9,4647.5,,-1.2
193,2022-09-27,4629.9,4705.7,4734.8,4588.2,,-0.73
194,2022-09-28,4731.4,4640.7,4758.1,4635.1,,2.19
195,2022-09-29,4652.4,4674.1,4680.5,4608.1,,-1.67
196,2022-09-30,4628.4,4653.4,4731.0,4624.0,,-0.52
197,2022-10-03,4749.8,4679.0,4770.0,4619.8,,2.62
198,2022-10-04,4949.1,4819.6,4949.3,4818.3,,4.2
199,2022-10-05,4912.6,4873.5,4928.4,4855.3,,-0.74
200,2022-10-06,4875.9,4886.3,4926.9,4859.6,,-0.75
201,2022-10-07,4735.7,4823.6,4828.5,4715.9,,-2.87
202,2022-10-10,4732.7,4765.0,4772.8,4703.0,,-0.06
203,2022-10-11,4711.0,4717.8,4771.5,4678.6,,-0.46
204,2022-10-12,4699.7,4711.9,4750.5,4680.6,,-0.24
205,2022-10-13,4852.5,4614.2,4867.2,4580.0,,3.25
206,2022-10-14,4728.2,4891.3,4931.8,4722.0,,-2.56
207,2022-10-17,4848.3,4828.8,4869.2,4818.3,,2.54
208,2022-10-18,4883.3,4937.4,4953.3,4846.9,,0.72
209,2022-10-19,4785.5,4828.8,4865.8,4749.6,,-2.0
210,2022-10-20,4665.7,4769.3,4801.6,4647.9,,-2.5
211,2022-10-21,4725.5,4658.9,4736.0,4624.1,,1.28
212,2022-10-24,4774.7,4745.1,4790.6,4736.8,,1.04
213,2022-10-25,4869.4,4764.1,4876.1,4764.1,,1.98
214,2022-10-26,4853.5,4882.8,4913.3,4851.8,,-0.33
215,2022-10-27,4865.6,4901.0,4937.9,4861.1,,0.25
216,2022-10-28,4999.9,4887.2,5004.3,4882.0,,2.76
217,2022-10-31,4991.5,4972.4,5008.8,4967.6,,-0.17
