,date,ixk,open,high,low,volume,ixk_cr
149,2022-08-01,9475.509765625,9426.01953125,9589.419921875,9394.75,848700,-0.32%
150,2022-08-02,9440.2900390625,9381.3603515625,9555.7099609375,9352.58984375,938500,-0.37%
151,2022-08-03,9727.91015625,9480.759765625,9753.3603515625,9471.990234375,972900,3.05%
152,2022-08-04,9754.990234375,9703.080078125,9759.099609375,9637.1904296875,1183400,0.28%
153,2022-08-05,9716.7802734375,9591.669921875,9761.259765625,9591.669921875,805100,-0.39%
154,2022-08-08,9660.259765625,9701.8701171875,9836.1298828125,9615.8798828125,880100,-0.58%
155,2022-08-09,9549.349609375,9567.1796875,9597.0,9486.599609375,868100,-1.15%
156,2022-08-10,9851.66015625,9785.8203125,9858.4404296875,9718.8095703125,898200,3.17%
157,2022-08-11,9791.58984375,9923.900390625,9993.009765625,9777.5,0,-0.61%
158,2022-08-12,10014.0400390625,9872.0302734375,10014.0400390625,9834.98046875,914300,2.27%
159,2022-08-15,10064.25,9976.990234375,10077.7998046875,9953.6298828125,710200,0.50%
160,2022-08-16,10020.73046875,10013.1396484375,10076.1904296875,9924.900390625,885200,-0.43%
161,2022-08-17,9914.75,9922.7001953125,10005.26953125,9850.9404296875,845800,-1.06%
162,2022-08-18,9952.0703125,9898.6103515625,9995.099609375,9861.0498046875,773400,0.38%
163,2022-08-19,9732.51953125,9850.1201171875,9874.5498046875,9711.4296875,737700,-2.21%
164,2022-08-22,9454.759765625,9576.9599609375,9596.2001953125,9430.5595703125,699000,-2.85%
165,2022-08-23,9443.650390625,9447.669921875,9550.099609375,9429.16015625,661500,-0.12%
166,2022-08-24,9457.8798828125,9447.169921875,9507.150390625,9406.6396484375,615700,0.15%
167,2022-08-25,9658.400390625,9505.5703125,9661.26953125,9499.4501953125,676300,2.12%
168,2022-08-26,9218.8896484375,9635.400390625,9664.599609375,9217.2099609375,918600,-4.55%
169,2022-08-29,9091.6904296875,9117.1298828125,9204.2900390625,9055.8203125,976000,-1.38%
170,2022-08-30,8994.0703125,9154.9404296875,9164.259765625,8911.8603515625,983100,-1.07%
171,2022-08-31,8927.66015625,9067.5302734375,9108.98046875,8924.759765625,1154200,-0.74%
172,2022-09-01,8869.1396484375,8829.919921875,8883.48046875,8674.9296875,1201600,-0.66%
173,2022-09-02,8744.2001953125,8960.919921875,9007.8095703125,8698.6904296875,901100,-1.41%
174,2022-09-06,8659.7099609375,8746.0,8781.8896484375,8613.25,917500,-0.97%
175,2022-09-07,8812.08984375,8682.169921875,8849.150390625,8652.5595703125,831000,1.76%
176,2022-09-08,8829.650390625,8720.1103515625,8884.7900390625,8703.3603515625,845100,0.20%
177,2022-09-09,9041.8203125,8920.650390625,9061.25,8916.3896484375,923900,2.40%
178,2022-09-12,9175.5,9093.5400390625,9179.5595703125,9088.6904296875,869100,1.48%
179,2022-09-13,8628.3095703125,8891.259765625,8935.3798828125,8609.2998046875,1082100,-5.96%
180,2022-09-14,8672.330078125,8672.900390625,8717.599609375,8584.599609375,1138000,0.51%
181,2022-09-15,8478.91015625,8581.23046875,8661.73046875,8429.990234375,922000,-2.23%
182,2022-09-16,8423.7998046875,8378.6904296875,8435.330078125,8311.73046875,1373900,-0.65%
183,2022-09-19,8502.76953125,8338.6201171875,8511.099609375,8337.900390625,901700,0.94%
184,2022-09-20,8455.2001953125,8423.76953125,8522.6298828125,8387.240234375,869700,-0.56%
185,2022-09-21,8320.419921875,8488.830078125,8630.8701171875,8319.33984375,901800,-1.59%
186,2022-09-22,8254.580078125,8271.4296875,8344.650390625,8197.1201171875,1173500,-0.79%
187,2022-09-23,8138.18017578125,8176.56005859375,8194.990234375,8034.0400390625,1163000,-1.41%
188,2022-09-26,8091.1201171875,8115.330078125,8264.83984375,8076.02978515625,1090500,-0.58%
189,2022-09-27,8112.4501953125,8206.759765625,8275.6396484375,8031.259765625,906500,0.26%
190,2022-09-28,8214.2197265625,8041.14990234375,8253.900390625,8000.240234375,948000,1.25%
191,2022-09-29,7963.7099609375,8072.77001953125,8083.5,7863.56005859375,980100,-3.05%
192,2022-09-30,7807.35009765625,7924.1298828125,8062.56982421875,7805.7099609375,1049500,-1.96%
193,2022-10-03,8056.97021484375,7883.669921875,8099.60986328125,7845.06982421875,851300,3.20%
194,2022-10-04,8322.66015625,8247.490234375,8334.1103515625,8232.58984375,887800,3.30%
195,2022-10-05,8341.330078125,8203.740234375,8393.2099609375,8130.39990234375,763000,0.22%
196,2022-10-06,8295.08984375,8326.41015625,8418.759765625,8281.669921875,804600,-0.55%
197,2022-10-07,7931.18994140625,8095.759765625,8124.1298828125,7895.740234375,967600,-4.39%
