,date,ixtr,open,high,low,volume,ixtr_cr
160,2022-08-16,5936.490234375,5905.759765625,5961.1201171875,5903.14990234375,142800,0.37%
161,2022-08-17,5833.06982421875,5861.1201171875,5867.580078125,5783.16015625,150900,-1.74%
162,2022-08-18,5861.580078125,5842.58984375,5873.759765625,5828.830078125,161600,0.49%
163,2022-08-19,5740.31005859375,5800.97021484375,5804.5400390625,5734.85009765625,150100,-2.07%
164,2022-08-22,5645.6298828125,5656.669921875,5666.52001953125,5632.39013671875,171900,-1.65%
165,2022-08-23,5664.990234375,5655.16015625,5712.22021484375,5644.10009765625,173400,0.34%
166,2022-08-24,5687.06005859375,5658.669921875,5712.8798828125,5657.22021484375,134600,0.39%
167,2022-08-25,5778.16015625,5729.10009765625,5778.35986328125,5708.14990234375,112600,1.60%
168,2022-08-26,5562.7001953125,5768.9501953125,5778.68017578125,5558.990234375,126600,-3.73%
169,2022-08-29,5505.1201171875,5513.39990234375,5561.5,5503.5,117700,-1.04%
170,2022-08-30,5424.43017578125,5506.7099609375,5511.60986328125,5393.10009765625,137800,-1.47%
171,2022-08-31,5379.47998046875,5446.10009765625,5448.080078125,5371.35986328125,129700,-0.83%
172,2022-09-01,5390.97998046875,5334.35009765625,5394.47021484375,5312.0498046875,138500,0.21%
173,2022-09-02,5331.2099609375,5449.31982421875,5451.72998046875,5305.490234375,144400,-1.11%
174,2022-09-06,5337.81982421875,5342.08984375,5371.89013671875,5292.7001953125,144800,0.12%
175,2022-09-07,5400.9599609375,5337.5,5420.580078125,5297.0,142900,1.18%
176,2022-09-08,5378.60986328125,5348.14013671875,5395.0498046875,5312.0,134500,-0.41%
177,2022-09-09,5482.7998046875,5432.22998046875,5488.2998046875,5428.25,151900,1.94%
178,2022-09-12,5538.830078125,5512.97021484375,5556.16015625,5506.47021484375,120800,1.02%
179,2022-09-13,5332.5498046875,5407.7998046875,5441.52978515625,5312.52001953125,135800,-3.72%
180,2022-09-14,5336.18017578125,5322.56005859375,5342.240234375,5241.56982421875,150300,0.07%
181,2022-09-15,5259.60986328125,5321.60009765625,5350.580078125,5244.68017578125,154000,-1.43%
182,2022-09-16,5122.3701171875,5131.68994140625,5148.10009765625,5060.97021484375,225300,-2.61%
183,2022-09-19,5203.0400390625,5088.06005859375,5209.08984375,5086.5400390625,151200,1.57%
184,2022-09-20,5121.06982421875,5164.08984375,5170.89013671875,5072.5498046875,134900,-1.58%
185,2022-09-21,5047.240234375,5144.72021484375,5187.2001953125,5047.1298828125,158600,-1.44%
186,2022-09-22,4946.830078125,5025.259765625,5027.3701171875,4931.33984375,191400,-1.99%
187,2022-09-23,4843.2099609375,4883.9501953125,4883.9501953125,4776.5498046875,198500,-2.09%
188,2022-09-26,4798.7900390625,4822.0498046875,4887.0498046875,4784.22998046875,150600,-0.92%
189,2022-09-27,4826.02978515625,4839.14013671875,4880.33984375,4770.10986328125,153900,0.57%
190,2022-09-28,4934.68994140625,4822.97998046875,4957.52978515625,4815.06005859375,162100,2.25%
191,2022-09-29,4856.18994140625,4877.240234375,4885.43017578125,4803.0,155100,-1.59%
192,2022-09-30,4770.83984375,4844.41015625,4884.580078125,4768.64990234375,158200,-1.76%
193,2022-10-03,4916.0400390625,4825.22021484375,4948.43017578125,4805.330078125,151900,3.04%
194,2022-10-04,5099.81005859375,5013.47998046875,5102.2900390625,5013.47998046875,214300,3.74%
195,2022-10-05,5072.7900390625,5031.9599609375,5105.8701171875,5019.25,239700,-0.53%
196,2022-10-06,5038.22021484375,5057.06005859375,5092.52978515625,5031.080078125,153100,-0.68%
197,2022-10-07,4882.080078125,4970.39013671875,4978.7900390625,4865.4599609375,187000,-3.10%
198,2022-10-10,4887.25,4924.52978515625,4926.89990234375,4857.68994140625,154200,0.11%
199,2022-10-11,4881.490234375,4886.31005859375,4939.18994140625,4845.14013671875,185500,-0.12%
200,2022-10-12,4916.77001953125,4882.41015625,4959.89990234375,4855.35986328125,140100,0.72%
201,2022-10-13,4996.2099609375,4815.9599609375,5027.97998046875,4761.06982421875,0,1.62%
202,2022-10-14,4924.259765625,5050.27001953125,5060.5498046875,4918.1201171875,0,-1.44%
203,2022-10-17,5030.7099609375,5030.169921875,5071.419921875,4998.0,167100,2.16%
204,2022-10-18,5097.97998046875,5154.669921875,5171.43994140625,5050.25,144800,1.34%
205,2022-10-19,5032.2900390625,5096.83984375,5107.72021484375,4996.3798828125,183800,-1.29%
206,2022-10-20,4916.47998046875,5004.64990234375,5032.669921875,4903.8701171875,177000,-2.30%
207,2022-10-21,5008.97021484375,4943.68994140625,5017.2099609375,4898.27978515625,181700,1.88%
208,2022-10-24,5106.52978515625,5044.47021484375,5133.5,5038.5,179800,1.95%
209,2022-10-25,5182.68994140625,5121.89990234375,5196.25,5106.509765625,196700,1.49%
210,2022-10-26,5213.85986328125,5246.60009765625,5276.7001953125,5155.7998046875,166700,0.60%
211,2022-10-27,5196.33984375,5255.2998046875,5281.14990234375,5188.41015625,132000,-0.34%
212,2022-10-28,5287.85986328125,5219.7099609375,5293.68994140625,5195.5498046875,122800,1.76%
213,2022-10-31,5306.60986328125,5262.27001953125,5343.10986328125,5236.6298828125,181200,0.35%
214,2022-11-01,5323.81982421875,5366.4501953125,5369.580078125,5274.1201171875,145600,0.32%
