,date,wti,open,high,low,volume,wti_cr
455,2021-09-22,72.23,70.85,72.3,70.64,381.06K,+2.37%
456,2021-09-23,73.3,71.97,73.5,71.61,403.41K,+1.48%
457,2021-09-24,73.98,73.24,74.27,72.81,350.38K,+0.93%
458,2021-09-27,75.45,74.19,75.75,74.16,417.83K,+1.99%
459,2021-09-28,75.29,75.43,76.67,74.24,476.14K,-0.21%
460,2021-09-29,74.83,74.38,75.79,73.74,424.19K,-0.61%
461,2021-09-30,75.03,74.78,76.07,73.14,583.19K,+0.27%
462,2021-10-01,75.88,75.12,75.99,74.23,389.00K,+1.13%
463,2021-10-04,77.62,75.9,78.38,75.32,458.01K,+2.29%
464,2021-10-05,78.93,77.58,79.48,77.47,449.62K,+1.69%
465,2021-10-06,77.43,79.04,79.78,76.83,459.06K,-1.90%
466,2021-10-07,78.3,77.0,78.89,74.96,545.01K,+1.12%
467,2021-10-08,79.35,78.86,80.11,78.63,662.01K,+1.34%
468,2021-10-11,80.52,79.59,82.18,79.55,653.76K,+1.47%
469,2021-10-12,80.64,80.5,81.62,79.47,598.18K,+0.15%
470,2021-10-13,80.44,80.58,81.04,79.42,487.22K,-0.25%
471,2021-10-14,81.31,80.59,81.68,80.38,399.81K,+1.08%
472,2021-10-15,82.28,81.48,82.66,81.39,277.95K,+1.19%
473,2021-10-18,82.44,82.6,83.87,81.84,134.10K,+0.19%
474,2021-10-19,82.96,82.37,83.74,81.8,82.61K,+0.63%
475,2021-10-20,83.87,83.34,84.25,81.3,25.72K,+1.10%
476,2021-10-21,82.5,83.58,83.96,80.79,567.50K,-1.63%
477,2021-10-22,83.76,82.61,84.22,81.76,465.36K,+1.53%
478,2021-10-25,83.76,83.98,85.41,83.39,568.73K,0.00%
479,2021-10-26,84.65,83.72,84.88,82.97,467.72K,+1.06%
480,2021-10-27,82.66,84.39,84.51,82.01,529.95K,-2.35%
481,2021-10-28,82.81,82.25,83.21,80.58,491.59K,+0.18%
482,2021-10-29,83.57,83.09,83.74,81.41,507.31K,+0.92%
483,2021-11-01,84.05,83.36,84.88,82.74,412.31K,+0.57%
484,2021-11-02,83.91,83.87,84.41,82.92,429.61K,-0.17%
485,2021-11-03,80.86,83.07,83.08,79.69,546.58K,-3.63%
486,2021-11-04,78.81,80.18,83.42,78.25,701.12K,-2.54%
487,2021-11-05,81.27,79.37,81.8,78.96,531.05K,+3.12%
488,2021-11-08,81.93,81.13,82.67,81.05,393.95K,+0.81%
489,2021-11-09,84.15,82.16,84.63,81.78,504.83K,+2.71%
490,2021-11-10,81.34,84.53,84.97,80.81,555.22K,-3.34%
491,2021-11-11,81.59,81.41,82.33,80.2,475.44K,+0.31%
492,2021-11-12,80.79,81.21,81.62,79.78,390.30K,-0.98%
493,2021-11-15,80.88,80.66,81.2,79.3,343.48K,+0.11%
494,2021-11-16,80.76,80.93,81.81,80.03,325.67K,-0.15%
495,2021-11-17,78.36,80.54,80.69,77.69,174.47K,-2.97%
496,2021-11-18,79.01,78.34,79.36,77.08,83.98K,+0.83%
