,date,kospi,open,high,low,volume,kospi_cr
62,2022-04-01,2739.85009765625,2745.85009765625,2745.85009765625,2729.679931640625,1305000,-0.65%
63,2022-04-04,2757.89990234375,2729.860107421875,2758.3798828125,2722.449951171875,1022500,0.66%
64,2022-04-05,2759.199951171875,2765.5,2769.179931640625,2750.5,1605600,0.05%
65,2022-04-06,2735.030029296875,2739.070068359375,2747.85009765625,2730.659912109375,1321300,-0.88%
66,2022-04-07,2695.860107421875,2714.699951171875,2718.5,2693.360107421875,998200,-1.43%
67,2022-04-08,2700.389892578125,2706.639892578125,2712.0,2685.52001953125,948000,0.17%
68,2022-04-11,2693.10009765625,2687.5400390625,2711.02001953125,2683.9599609375,742100,-0.27%
69,2022-04-12,2666.760009765625,2674.169921875,2685.080078125,2658.39990234375,870000,-0.98%
70,2022-04-13,2716.489990234375,2677.530029296875,2717.6298828125,2672.60009765625,732000,1.86%
71,2022-04-14,2716.7099609375,2719.340087890625,2720.300048828125,2702.610107421875,664800,0.01%
72,2022-04-15,2696.06005859375,2695.52001953125,2705.409912109375,2685.010009765625,693700,-0.76%
73,2022-04-18,2693.2099609375,2685.0400390625,2701.110107421875,2681.3701171875,1024600,-0.11%
74,2022-04-19,2718.889892578125,2707.760009765625,2723.97998046875,2705.320068359375,1256100,0.95%
75,2022-04-20,2718.68994140625,2718.489990234375,2724.4599609375,2702.840087890625,1735700,-0.01%
76,2022-04-21,2728.2099609375,2725.7099609375,2737.5400390625,2725.0400390625,1002600,0.35%
77,2022-04-22,2704.7099609375,2704.719970703125,2708.580078125,2690.47998046875,1239400,-0.86%
78,2022-04-25,2657.1298828125,2676.669921875,2680.35009765625,2657.0400390625,1017600,-1.76%
79,2022-04-26,2668.31005859375,2674.0,2678.050048828125,2663.830078125,889600,0.42%
80,2022-04-27,2639.06005859375,2630.580078125,2641.820068359375,2615.5,1071800,-1.10%
81,2022-04-28,2667.489990234375,2656.5400390625,2667.489990234375,2638.3701171875,898900,1.08%
82,2022-04-29,2695.050048828125,2669.179931640625,2696.10009765625,2664.06005859375,975000,1.03%
83,2022-05-02,2687.449951171875,2669.2099609375,2689.909912109375,2667.85009765625,873400,-0.28%
84,2022-05-03,2680.4599609375,2690.159912109375,2702.10009765625,2680.4599609375,883100,-0.26%
85,2022-05-04,2677.570068359375,2690.449951171875,2696.030029296875,2667.22998046875,1180500,-0.11%
86,2022-05-06,2644.510009765625,2650.889892578125,2652.510009765625,2635.969970703125,1333600,-1.23%
87,2022-05-10,2596.56005859375,2590.1298828125,2602.75,2553.010009765625,840900,-1.81%
88,2022-05-11,2592.27001953125,2586.52001953125,2599.110107421875,2579.090087890625,679300,-0.17%
89,2022-05-12,2550.080078125,2569.5,2591.570068359375,2546.800048828125,899900,-1.63%
90,2022-05-13,2604.239990234375,2570.010009765625,2605.840087890625,2565.9599609375,788300,2.12%
91,2022-05-16,2596.580078125,2624.68994140625,2629.199951171875,2593.610107421875,780000,-0.29%
92,2022-05-17,2620.43994140625,2603.580078125,2621.840087890625,2603.580078125,873000,0.92%
93,2022-05-18,2625.97998046875,2634.75,2644.1298828125,2618.0,869300,0.21%
