,date,dji,open,high,low,volume,dji_cr
535,2024-02-13,38272.75,38699.171875,38699.171875,38039.859375,318390000,-1.35%
536,2024-02-14,38424.26953125,38372.671875,38442.55859375,38194.62109375,274610000,0.40%
537,2024-02-15,38773.12109375,38397.94140625,38781.890625,38397.94140625,303840000,0.91%
538,2024-02-16,38627.98828125,38751.7109375,38825.03125,38583.23828125,282210000,-0.37%
539,2024-02-20,38563.80078125,38576.26171875,38663.08984375,38460.19921875,335990000,-0.17%
540,2024-02-21,38612.23828125,38483.66015625,38618.03125,38338.578125,279510000,0.13%
541,2024-02-22,39069.109375,38845.19140625,39149.609375,38802.0703125,324630000,1.18%
542,2024-02-23,39131.53125,39127.96875,39282.28125,39094.359375,286910000,0.16%
543,2024-02-26,39069.23046875,39144.7890625,39245.890625,39025.80078125,296930000,-0.16%
544,2024-02-27,38972.41015625,39087.8984375,39087.8984375,38881.8984375,272860000,-0.25%
545,2024-02-28,38949.01953125,38938.078125,38956.4609375,38741.6796875,272560000,-0.06%
546,2024-02-29,38996.390625,39013.75,39074.12890625,38809.28125,519690000,0.12%
547,2024-03-01,39087.37890625,38989.51171875,39120.359375,38850.5,331030000,0.23%
548,2024-03-04,38989.828125,38968.76953125,39087.859375,38913.30078125,386290000,-0.25%
549,2024-03-05,38585.19140625,38906.98046875,38906.98046875,38457.828125,393750000,-1.04%
550,2024-03-06,38661.05078125,38721.1484375,38858.12890625,38570.80078125,347900000,0.20%
551,2024-03-07,38791.3515625,38784.30078125,38910.3515625,38730.12890625,335580000,0.34%
552,2024-03-08,38722.69140625,38776.80078125,38971.1484375,38705.03125,342030000,-0.18%
553,2024-03-11,38769.66015625,38667.2109375,38794.76171875,38483.25,300190000,0.12%
554,2024-03-12,39005.48828125,38883.3203125,39071.55859375,38711.390625,329090000,0.61%
555,2024-03-13,39043.3203125,39054.578125,39201.94140625,38937.921875,330930000,0.10%
556,2024-03-14,38905.66015625,39122.390625,39160.25,38704.359375,375810000,-0.35%
557,2024-03-15,38714.76953125,38809.6484375,38928.12890625,38618.19921875,774360000,-0.49%
558,2024-03-18,38790.4296875,38826.9296875,38898.41015625,38760.7890625,327950000,0.20%
559,2024-03-19,39110.76171875,38819.609375,39122.7109375,38761.28125,310610000,0.83%
560,2024-03-20,39512.12890625,39072.05078125,39529.12890625,38988.6484375,350050000,1.03%
561,2024-03-21,39781.37109375,39661.03125,39889.05078125,39589.23046875,408990000,0.68%
562,2024-03-22,39475.8984375,39774.05859375,39824.76171875,39469.53125,332340000,-0.77%
563,2024-03-25,39313.640625,39410.5390625,39430.171875,39296.03125,323670000,-0.41%
564,2024-03-26,39282.328125,39338.3203125,39439.44140625,39277.19140625,306940000,-0.08%
565,2024-03-27,39760.078125,39461.98046875,39769.41015625,39461.98046875,332190000,1.22%
566,2024-03-28,39807.37109375,39763.73828125,39868.58984375,39717.25,360970000,0.12%
567,2024-04-01,39566.8515625,39807.9296875,39815.0,39491.21875,269470000,-0.60%
568,2024-04-02,39170.23828125,39256.26953125,39256.26953125,39051.69921875,319590000,-1.00%
569,2024-04-03,39127.140625,39139.58984375,39305.76171875,39017.12890625,364180000,-0.11%
570,2024-04-04,38596.98046875,39343.6015625,39421.3515625,38559.421875,356510000,-1.35%
571,2024-04-05,38904.0390625,38664.98046875,39040.171875,38602.1796875,317110000,0.80%
572,2024-04-08,38892.80078125,38916.421875,39013.19921875,38857.69921875,291460000,-0.03%
573,2024-04-09,38883.671875,38983.66015625,38992.890625,38572.08984375,328700000,-0.02%
574,2024-04-10,38461.51171875,38662.28125,38662.28125,38304.66015625,317580000,-1.09%
575,2024-04-11,38459.078125,38523.26171875,38598.98046875,38197.28125,356640000,-0.01%
576,2024-04-12,37983.23828125,38319.140625,38319.140625,37877.30078125,440910000,-1.24%
577,2024-04-15,37735.109375,38075.37890625,38386.80859375,37657.7890625,389170000,-0.65%
578,2024-04-16,37798.96875,37992.21875,37992.21875,37713.69921875,339480000,0.17%
579,2024-04-17,37753.30859375,37949.671875,38036.69921875,37611.55859375,314650000,-0.12%
580,2024-04-18,37775.37890625,37847.2109375,38083.76171875,37681.51953125,300230000,0.06%
581,2024-04-19,37986.3984375,37801.98046875,38102.5703125,37781.609375,420460000,0.56%
582,2024-04-22,38239.98046875,38116.890625,38447.16015625,37985.0703125,351650000,0.67%
583,2024-04-23,38503.69140625,38356.0703125,38561.5,38297.71875,329420000,0.69%
584,2024-04-24,38460.921875,38552.7890625,38552.7890625,38310.55078125,337230000,-0.11%
585,2024-04-25,38085.80078125,38052.08984375,38157.21875,37754.37890625,408170000,-0.98%
586,2024-04-26,38239.66015625,38114.69921875,38337.640625,38065.05078125,398680000,0.40%
587,2024-04-29,38386.08984375,38282.16015625,38406.19921875,38215.46875,343630000,0.38%
588,2024-04-30,37815.921875,38337.3984375,38337.3984375,37810.12109375,448480000,-1.49%
589,2024-05-01,37903.2890625,37845.55859375,38349.19921875,37780.5390625,413540000,0.23%
590,2024-05-02,38225.66015625,38075.6484375,38295.2890625,37895.66015625,355910000,0.85%
591,2024-05-03,38675.6796875,38709.359375,38808.51953125,38518.28125,410530000,1.18%
592,2024-05-06,38852.26953125,38762.4296875,38886.46875,38689.37890625,315550000,0.46%
593,2024-05-07,38884.26171875,38858.94140625,38977.609375,38840.3984375,360930000,0.08%
594,2024-05-08,39056.390625,38818.8984375,39094.73828125,38814.98828125,292340000,0.44%
595,2024-05-09,39387.76171875,39064.26953125,39413.66015625,38988.8515625,303270000,0.85%
596,2024-05-10,39512.83984375,39466.51953125,39579.87890625,39406.26171875,289480000,0.32%
