,date,fg_index,rating
475,2012-11-21,39,fear
476,2012-11-23,47,neutral
477,2012-11-26,47,neutral
478,2012-11-27,49,neutral
479,2012-11-28,49,neutral
480,2012-11-29,52,neutral
481,2012-11-30,50,neutral
482,2012-12-03,45,neutral
483,2012-12-04,45,neutral
484,2012-12-05,45,neutral
485,2012-12-06,45,neutral
486,2012-12-07,51,neutral
487,2012-12-10,55,greed
488,2012-12-11,55,greed
489,2012-12-12,58,greed
490,2012-12-13,60,greed
491,2012-12-14,57,greed
492,2012-12-17,64,greed
493,2012-12-18,67,greed
494,2012-12-19,64,greed
495,2012-12-20,59,greed
496,2012-12-21,56,greed
497,2012-12-24,51,neutral
498,2012-12-26,58,greed
499,2012-12-27,58,greed
500,2012-12-28,66,greed
501,2012-12-31,66,greed
502,2013-01-02,68,greed
503,2013-01-03,69,greed
504,2013-01-04,82,extreme greed
505,2013-01-07,82,extreme greed
506,2013-01-08,80,extreme greed
507,2013-01-09,81,extreme greed
508,2013-01-10,85,extreme greed
509,2013-01-11,85,extreme greed
510,2013-01-14,86,extreme greed
511,2013-01-15,89,extreme greed
512,2013-01-16,85,extreme greed
513,2013-01-17,86,extreme greed
514,2013-01-18,89,extreme greed
515,2013-01-22,89,extreme greed
516,2013-01-23,92,extreme greed
517,2013-01-24,92,extreme greed
518,2013-01-25,91,extreme greed
519,2013-01-28,93,extreme greed
520,2013-01-29,94,extreme greed
521,2013-01-30,93,extreme greed
522,2013-01-31,89,extreme greed
523,2013-02-01,88,extreme greed
524,2013-02-04,80,extreme greed
525,2013-02-05,88,extreme greed
526,2013-02-06,81,extreme greed
527,2013-02-07,85,extreme greed
528,2013-02-08,83,extreme greed
529,2013-02-11,82,extreme greed
530,2013-02-12,82,extreme greed
531,2013-02-13,83,extreme greed
532,2013-02-14,87,extreme greed
533,2013-02-15,84,extreme greed
534,2013-02-19,81,extreme greed
535,2013-02-20,79,extreme greed
536,2013-02-21,68,greed
537,2013-02-22,78,extreme greed
538,2013-02-25,62,greed
539,2013-02-26,61,greed
540,2013-02-27,56,greed
541,2013-02-28,61,greed
542,2013-03-01,60,greed
543,2013-03-04,60,greed
544,2013-03-05,71,greed
545,2013-03-06,69,greed
546,2013-03-07,73,greed
547,2013-03-08,82,extreme greed
548,2013-03-11,79,extreme greed
549,2013-03-12,77,extreme greed
550,2013-03-13,77,extreme greed
551,2013-03-14,79,extreme greed
552,2013-03-15,77,extreme greed
553,2013-03-18,70,greed
554,2013-03-19,73,greed
555,2013-03-20,69,greed
556,2013-03-21,69,greed
557,2013-03-22,69,greed
558,2013-03-25,70,greed
559,2013-03-26,68,greed
560,2013-03-27,70,greed
561,2013-03-28,72,greed
562,2013-04-01,63,greed
563,2013-04-02,63,greed
564,2013-04-03,59,greed
565,2013-04-04,55,greed
566,2013-04-05,52,neutral
567,2013-04-08,53,neutral
568,2013-04-09,56,greed
569,2013-04-10,56,greed
570,2013-04-11,57,greed
571,2013-04-12,57,greed
572,2013-04-15,41,fear
573,2013-04-16,52,neutral
574,2013-04-17,47,neutral
575,2013-04-18,35,fear
576,2013-04-19,41,fear
577,2013-04-22,42,fear
578,2013-04-23,46,neutral
579,2013-04-24,48,neutral
580,2013-04-25,53,neutral
581,2013-04-26,53,neutral
582,2013-04-29,60,greed
583,2013-04-30,61,greed
584,2013-05-01,62,greed
585,2013-05-02,63,greed
586,2013-05-03,64,greed
587,2013-05-06,73,greed
588,2013-05-07,78,extreme greed
589,2013-05-08,77,extreme greed
590,2013-05-09,76,extreme greed
591,2013-05-10,77,extreme greed
592,2013-05-13,80,extreme greed
593,2013-05-14,86,extreme greed
594,2013-05-15,87,extreme greed
595,2013-05-16,85,extreme greed
596,2013-05-17,91,extreme greed
597,2013-05-20,83,extreme greed
598,2013-05-21,83,extreme greed
599,2013-05-22,83,extreme greed
600,2013-05-23,80,extreme greed
601,2013-05-24,75,extreme greed
602,2013-05-28,67,greed
603,2013-05-29,66,greed
604,2013-05-30,72,greed
605,2013-05-31,60,greed
606,2013-06-03,55,greed
607,2013-06-04,48,neutral
608,2013-06-05,32,fear
609,2013-06-06,34,fear
610,2013-06-07,40,fear
611,2013-06-10,34,fear
612,2013-06-11,31,fear
613,2013-06-12,30,fear
614,2013-06-13,30,fear
615,2013-06-14,29,fear
616,2013-06-17,24,extreme fear
617,2013-06-18,24,extreme fear
618,2013-06-19,21,extreme fear
619,2013-06-20,19,extreme fear
620,2013-06-21,19,extreme fear
621,2013-06-24,18,extreme fear
622,2013-06-25,19,extreme fear
623,2013-06-26,20,extreme fear
624,2013-06-27,21,extreme fear
625,2013-06-28,22,extreme fear
626,2013-07-01,25,fear
627,2013-07-02,29,fear
628,2013-07-03,30,fear
629,2013-07-05,38,fear
630,2013-07-08,40,fear
631,2013-07-09,48,neutral
632,2013-07-10,49,neutral
633,2013-07-11,51,neutral
634,2013-07-12,61,greed
635,2013-07-15,60,greed
636,2013-07-16,62,greed
637,2013-07-17,57,greed
638,2013-07-18,62,greed
639,2013-07-19,68,greed
640,2013-07-22,63,greed
641,2013-07-23,65,greed
642,2013-07-24,64,greed
643,2013-07-25,62,greed
644,2013-07-26,64,greed
645,2013-07-29,59,greed
646,2013-07-30,62,greed
647,2013-07-31,61,greed
648,2013-08-01,68,greed
649,2013-08-02,62,greed
650,2013-08-05,61,greed
651,2013-08-06,54,neutral
652,2013-08-07,47,neutral
653,2013-08-08,52,neutral
654,2013-08-09,44,fear
655,2013-08-12,50,neutral
656,2013-08-13,50,neutral
657,2013-08-14,46,neutral
658,2013-08-15,43,fear
659,2013-08-16,39,fear
660,2013-08-19,32,fear
661,2013-08-20,26,fear
662,2013-08-21,26,fear
663,2013-08-22,32,fear
664,2013-08-23,27,fear
665,2013-08-26,25,fear
666,2013-08-27,18,extreme fear
667,2013-08-28,24,extreme fear
668,2013-08-29,23,extreme fear
669,2013-08-30,20,extreme fear
670,2013-09-03,17,extreme fear
671,2013-09-04,28,fear
672,2013-09-05,33,fear
673,2013-09-06,36,fear
674,2013-09-09,43,fear
675,2013-09-10,52,neutral
676,2013-09-11,47,neutral
677,2013-09-12,46,neutral
678,2013-09-13,48,neutral
679,2013-09-16,50,neutral
680,2013-09-17,54,neutral
681,2013-09-18,56,greed
682,2013-09-19,62,greed
683,2013-09-20,57,greed
684,2013-09-23,49,neutral
685,2013-09-24,48,neutral
686,2013-09-25,47,neutral
687,2013-09-26,39,fear
688,2013-09-27,41,fear
689,2013-09-30,35,fear
690,2013-10-01,40,fear
691,2013-10-02,35,fear
692,2013-10-03,29,fear
693,2013-10-04,34,fear
694,2013-10-07,27,fear
695,2013-10-08,20,extreme fear
696,2013-10-09,29,fear
697,2013-10-10,35,fear
698,2013-10-11,31,fear
699,2013-10-14,39,fear
700,2013-10-15,39,fear
701,2013-10-16,46,neutral
702,2013-10-17,48,neutral
703,2013-10-18,56,greed
704,2013-10-21,53,neutral
705,2013-10-22,55,greed
706,2013-10-23,61,greed
707,2013-10-24,62,greed
708,2013-10-25,62,greed
709,2013-10-28,64,greed
710,2013-10-29,64,greed
711,2013-10-30,64,greed
712,2013-10-31,66,greed
713,2013-11-01,67,greed
