,date,ixut,open,high,low,volume,ixut_cr
134,2022-09-16,369.8299865722656,366.82000732421875,370.3699951171875,365.760009765625,287500,0.04%
135,2022-09-19,369.760009765625,367.20001220703125,369.8900146484375,365.2099914550781,106200,-0.02%
136,2022-09-20,363.5899963378906,366.8699951171875,366.8699951171875,362.1400146484375,110200,-1.67%
137,2022-09-21,354.8900146484375,364.5199890136719,365.1700134277344,354.7799987792969,125600,-2.39%
138,2022-09-22,349.04998779296875,353.4599914550781,354.25,348.6199951171875,115200,-1.65%
139,2022-09-23,342.1700134277344,346.29998779296875,346.29998779296875,337.94000244140625,131400,-1.97%
140,2022-09-26,337.0199890136719,340.6600036621094,342.19000244140625,335.3500061035156,131700,-1.51%
141,2022-09-27,335.95001220703125,340.57000732421875,342.9700012207031,333.7200012207031,125300,-0.32%
142,2022-09-28,345.0,339.5799865722656,346.5799865722656,337.8999938964844,141600,2.69%
143,2022-09-29,338.5299987792969,342.0799865722656,342.19000244140625,335.239990234375,132700,-1.88%
144,2022-09-30,333.04998779296875,339.6300048828125,341.55999755859375,332.8399963378906,194200,-1.62%
145,2022-10-03,346.1400146484375,338.5799865722656,347.3500061035156,337.05999755859375,153900,3.93%
146,2022-10-04,353.54998779296875,348.54998779296875,353.6099853515625,348.3699951171875,161100,2.14%
147,2022-10-05,351.7699890136719,348.7200012207031,353.5400085449219,345.510009765625,114500,-0.50%
148,2022-10-06,347.260009765625,350.0400085449219,352.6499938964844,346.3999938964844,156300,-1.28%
149,2022-10-07,338.4800109863281,344.3800048828125,344.8999938964844,337.3800048828125,151300,-2.53%
150,2022-10-10,337.3900146484375,340.6600036621094,340.989990234375,335.3699951171875,125800,-0.32%
151,2022-10-11,333.44000244140625,336.8599853515625,337.239990234375,332.1300048828125,141200,-1.17%
152,2022-10-12,329.239990234375,333.1000061035156,333.7200012207031,329.1099853515625,148600,-1.26%
153,2022-10-13,338.8999938964844,324.7799987792969,340.69000244140625,323.4200134277344,0,2.93%
154,2022-10-14,334.8900146484375,342.05999755859375,342.9700012207031,334.70001220703125,0,-1.18%
155,2022-10-17,343.6199951171875,341.6499938964844,345.20001220703125,341.6000061035156,142600,2.61%
156,2022-10-18,346.5400085449219,350.17999267578125,351.55999755859375,343.010009765625,549800,0.85%
157,2022-10-19,344.239990234375,345.8299865722656,347.95001220703125,342.25,281000,-0.66%
158,2022-10-20,344.19000244140625,343.7300109863281,348.7200012207031,342.260009765625,249000,-0.01%
159,2022-10-21,347.7099914550781,343.8900146484375,348.29998779296875,342.6499938964844,185400,1.02%
160,2022-10-24,353.7699890136719,350.760009765625,354.5199890136719,349.8800048828125,170200,1.74%
161,2022-10-25,360.32000732421875,354.6499938964844,360.489990234375,354.1700134277344,156300,1.85%
162,2022-10-26,360.1099853515625,363.7200012207031,365.3999938964844,359.82000732421875,155100,-0.06%
163,2022-10-27,362.17999267578125,366.2799987792969,371.5799865722656,361.5899963378906,148200,0.57%
164,2022-10-28,374.67999267578125,367.0199890136719,375.05999755859375,364.1000061035156,149200,3.45%
165,2022-10-31,373.9599914550781,371.82000732421875,375.2300109863281,369.04998779296875,132800,-0.19%
166,2022-11-01,373.20001220703125,378.2300109863281,379.8699951171875,372.6300048828125,120000,-0.20%
167,2022-11-02,365.95001220703125,372.4599914550781,378.07000732421875,365.8299865722656,199700,-1.94%
168,2022-11-03,360.1199951171875,360.8500061035156,361.9800109863281,357.8299865722656,272100,-1.59%
169,2022-11-04,363.5,364.0199890136719,366.2799987792969,358.04998779296875,180000,0.94%
170,2022-11-07,366.5199890136719,366.1099853515625,367.4800109863281,363.4700012207031,150900,0.83%
171,2022-11-08,367.489990234375,367.30999755859375,371.79998779296875,363.54998779296875,160300,0.26%
172,2022-11-09,361.44000244140625,365.5,366.010009765625,361.3299865722656,131800,-1.65%
173,2022-11-10,376.1700134277344,374.3599853515625,376.4599914550781,370.7300109863281,177000,4.08%
174,2022-11-11,377.5899963378906,375.29998779296875,378.0199890136719,371.1600036621094,183300,0.38%
175,2022-11-14,376.2699890136719,376.8999938964844,381.6099853515625,375.94000244140625,172000,-0.35%
176,2022-11-15,377.6700134277344,382.4800109863281,383.5199890136719,373.9599914550781,232400,0.37%
177,2022-11-16,374.42999267578125,378.1199951171875,378.6099853515625,373.6499938964844,140000,-0.86%
178,2022-11-17,381.07000732421875,375.6199951171875,382.260009765625,373.3599853515625,162900,1.77%
179,2022-11-18,384.3999938964844,385.0400085449219,388.1099853515625,383.489990234375,140900,0.87%
180,2022-11-21,383.2900085449219,385.2200012207031,386.19000244140625,382.17999267578125,137300,-0.29%
181,2022-11-22,390.1400146484375,385.2300109863281,390.4700012207031,383.8699951171875,0,1.79%
182,2022-11-23,391.42999267578125,389.5899963378906,393.4800109863281,389.5899963378906,422800,0.33%
183,2022-11-25,392.5199890136719,392.92999267578125,394.239990234375,392.3599853515625,114900,0.28%
184,2022-11-28,388.8999938964844,390.29998779296875,392.2099914550781,387.8500061035156,257400,-0.92%
185,2022-11-29,388.17999267578125,388.3699951171875,389.4800109863281,385.6199951171875,259500,-0.19%
186,2022-11-30,398.5299987792969,387.3500061035156,398.54998779296875,386.19000244140625,257600,2.67%
187,2022-12-01,398.30999755859375,398.7300109863281,403.4700012207031,397.30999755859375,494900,-0.06%
188,2022-12-02,397.4700012207031,392.9599914550781,398.17999267578125,391.57000732421875,237800,-0.21%
189,2022-12-05,391.5899963378906,394.6099853515625,396.3399963378906,390.8299865722656,351200,-1.48%
190,2022-12-06,385.2300109863281,391.1300048828125,391.1300048828125,383.29998779296875,350500,-1.62%
191,2022-12-07,383.4200134277344,385.1199951171875,385.510009765625,381.3599853515625,215700,-0.47%
192,2022-12-08,383.32000732421875,384.07000732421875,386.3599853515625,382.0,176400,-0.03%
193,2022-12-09,381.8800048828125,382.45001220703125,385.510009765625,381.1000061035156,246800,-0.38%
194,2022-12-12,388.2300109863281,383.7099914550781,388.3399963378906,383.260009765625,158900,1.66%
195,2022-12-13,389.55999755859375,398.5199890136719,399.239990234375,387.29998779296875,205400,0.34%
196,2022-12-14,379.5199890136719,382.1499938964844,386.6700134277344,377.1600036621094,199500,-2.58%
