,date,lmt,open,high,low,volume,lmt_cr
562,2024-03-22,425.15997314453125,423.84409705120856,425.5127745986543,423.05267993245366,1008300,0.61%
563,2024-03-25,425.5699157714844,427.0478754365352,427.70581337760234,424.1396209603684,775000,0.10%
564,2024-03-26,425.2648010253906,425.75111059791163,427.7725893786613,425.14083747949906,766700,-0.07%
565,2024-03-27,435.5533752441406,427.06696517446727,435.86802729922107,427.04787595333227,1277700,2.42%
566,2024-03-28,433.732177734375,435.5724836135578,435.86807557966796,432.8549464476693,1119500,-0.42%
567,2024-04-01,431.7488708496094,433.0361422112413,434.19942091351766,430.25182171719723,717100,-0.46%
568,2024-04-02,432.1779479980469,432.54983868307613,434.5141082465223,431.5295545517385,837900,0.10%
569,2024-04-03,427.08612060546875,431.8728602709771,433.04568365561045,426.79052860613604,758600,-1.18%
570,2024-04-04,432.94073486328125,429.33639291435105,434.7905852438912,426.37089971885655,1398300,1.37%
571,2024-04-05,434.218505859375,431.3865205314595,434.3996788914195,428.9454860043017,892100,0.30%
572,2024-04-08,431.35791015625,434.8096841331532,435.7632141422171,431.2530067235512,751100,-0.66%
573,2024-04-09,426.77142333984375,427.83937226956175,431.05276367040375,425.4460026899583,842800,-1.06%
574,2024-04-10,430.718994140625,424.025224544989,431.5771652529746,422.2611883644001,1247700,0.92%
575,2024-04-11,431.3006896972656,430.51878812588797,432.6642305916316,428.0872983044822,942800,0.14%
576,2024-04-12,429.4698791503906,433.00746707990464,436.69765239117197,429.1933473199555,1251200,-0.42%
577,2024-04-15,432.0253601074219,437.6607259060208,437.9563178784164,430.6427590654418,2442100,0.60%
578,2024-04-16,433.1982421875,433.5796483942177,437.5272768372883,432.54984872613704,1452300,0.27%
579,2024-04-17,434.8573303222656,435.4866635931572,435.99203331228483,430.73810297554184,848300,0.38%
580,2024-04-18,434.8955078125,433.70359527521447,436.764418523124,433.1600761743498,714900,0.01%
581,2024-04-19,442.3139343261719,436.52600053173535,443.7346846433108,436.03017543232255,1388000,1.71%
582,2024-04-22,439.8919677734375,443.6107579318953,447.7204697701296,439.01473649767877,1820900,-0.55%
