,date,bond_usa_3m,open,high,low,bond_usa_3m_cr
159,2022-08-02,2.533,2.505,2.546,2.484,6.16
160,2022-08-03,2.487,2.53,2.548,2.481,-1.82
161,2022-08-04,2.443,2.497,2.53,2.435,-1.77
162,2022-08-05,2.53,2.451,2.558,2.445,3.56
163,2022-08-08,2.529,2.535,2.563,2.506,-0.04
164,2022-08-09,2.633,2.649,2.669,2.618,4.11
165,2022-08-10,2.597,2.661,2.682,2.556,-1.37
166,2022-08-11,2.558,2.658,2.669,2.525,-1.5
167,2022-08-12,2.563,2.594,2.597,2.54,0.2
168,2022-08-15,2.588,2.589,2.627,2.55,0.98
169,2022-08-16,2.661,2.664,2.713,2.659,2.82
170,2022-08-17,2.641,2.703,2.746,2.641,-0.75
171,2022-08-18,2.669,2.682,2.692,2.635,1.06
172,2022-08-19,2.686,2.674,2.704,2.668,0.64
173,2022-08-22,2.755,2.722,2.766,2.673,2.57
174,2022-08-23,2.769,2.788,2.834,2.741,0.51
175,2022-08-24,2.78,2.831,2.836,2.759,0.4
176,2022-08-25,2.8,2.826,2.857,2.779,0.72
177,2022-08-26,2.838,2.849,2.871,2.805,1.36
178,2022-08-29,2.886,2.871,2.941,2.84,1.69
179,2022-08-30,2.944,3.024,3.024,2.939,2.01
180,2022-08-31,2.931,2.941,2.995,2.931,-0.44
181,2022-09-01,2.954,2.967,3.021,2.936,0.78
182,2022-09-02,2.909,2.98,3.015,2.904,-1.52
183,2022-09-05,2.922,2.904,2.922,2.904,0.45
184,2022-09-06,2.935,2.925,2.973,2.919,0.44
185,2022-09-07,3.047,3.068,3.093,3.026,3.82
186,2022-09-08,3.029,3.023,3.078,3.021,-0.59
187,2022-09-09,3.041,3.049,3.079,3.025,0.4
188,2022-09-12,3.071,3.066,3.107,3.038,0.99
189,2022-09-13,3.263,3.148,3.325,3.142,6.25
190,2022-09-14,3.212,3.289,3.343,3.204,-1.56
191,2022-09-15,3.186,3.212,3.263,3.181,-0.81
192,2022-09-16,3.167,3.219,3.226,3.149,-0.6
193,2022-09-19,3.128,3.167,3.22,3.125,-1.23
194,2022-09-20,3.348,3.364,3.387,3.325,7.03
195,2022-09-21,3.292,3.348,3.374,3.271,-1.67
196,2022-09-22,3.232,3.312,3.33,3.229,-1.82
197,2022-09-23,3.195,3.27,3.319,3.195,-1.14
198,2022-09-26,3.272,3.241,3.285,3.21,2.41
199,2022-09-27,3.328,3.367,3.395,3.323,1.71
200,2022-09-28,3.374,3.353,3.374,3.325,1.38
201,2022-09-29,3.314,3.366,3.381,3.312,-1.78
202,2022-09-30,3.283,3.379,3.386,3.272,-0.94
203,2022-10-03,3.251,3.303,3.313,3.241,-0.97
204,2022-10-04,3.395,3.408,3.447,3.39,4.43
205,2022-10-05,3.392,3.402,3.438,3.382,-0.09
206,2022-10-06,3.381,3.428,3.433,3.376,-0.32
207,2022-10-07,3.378,3.429,3.429,3.375,-0.09
208,2022-10-10,3.427,3.383,3.427,3.383,1.44
209,2022-10-11,3.442,3.424,3.457,3.388,0.45
210,2022-10-12,3.622,3.586,3.686,3.586,5.23
211,2022-10-13,3.696,3.663,3.732,3.619,2.04
212,2022-10-14,3.723,3.735,3.79,3.697,0.73
213,2022-10-17,3.78,3.765,3.818,3.713,1.53
214,2022-10-18,3.934,3.953,3.986,3.909,4.07
215,2022-10-19,3.996,3.978,4.069,3.931,1.58
216,2022-10-20,4.001,4.04,4.05,3.985,0.13
217,2022-10-21,3.992,4.037,4.051,3.979,-0.22
218,2022-10-24,4.02,4.03,4.051,3.989,0.7
219,2022-10-25,4.066,4.121,4.124,4.061,1.14
220,2022-10-26,4.032,4.107,4.107,4.025,-0.84
221,2022-10-27,4.047,4.074,4.076,4.027,0.37
222,2022-10-28,4.082,4.076,4.1,4.046,0.86
223,2022-10-31,4.09,4.116,4.152,4.082,0.2
224,2022-11-01,4.154,4.219,4.219,4.139,1.56
225,2022-11-02,4.138,4.198,4.201,4.123,-0.39
226,2022-11-03,4.135,4.138,4.205,4.128,-0.07
227,2022-11-04,4.118,4.2,4.204,4.116,-0.41
228,2022-11-07,4.09,4.16,4.16,4.079,-0.68
229,2022-11-08,4.2,4.235,4.245,4.191,2.69
230,2022-11-09,4.203,4.232,4.26,4.193,0.07
231,2022-11-10,4.196,4.242,4.268,4.16,-0.17
232,2022-11-14,4.181,4.214,4.229,4.172,-0.36
233,2022-11-15,4.237,4.286,4.286,4.224,1.34
234,2022-11-16,4.232,4.239,4.242,4.221,-0.12
235,2022-11-17,4.234,4.275,4.293,4.228,0.05
236,2022-11-18,4.25,4.271,4.281,4.232,0.38
237,2022-11-21,4.216,4.289,4.312,4.201,-0.8
238,2022-11-22,4.311,4.315,4.37,4.294,2.25
239,2022-11-23,4.314,4.319,4.371,4.309,0.07
240,2022-11-24,4.36,4.324,4.36,4.324,1.08
241,2022-11-25,4.305,4.335,4.354,4.281,-1.27
242,2022-11-28,4.402,4.405,4.41,4.276,2.25
243,2022-11-29,4.384,4.388,4.429,4.374,-0.41
244,2022-11-30,4.364,4.418,4.421,4.353,-0.46
245,2022-12-01,4.316,4.405,4.405,4.304,-1.1
246,2022-12-02,4.32,4.347,4.353,4.289,0.09
247,2022-12-05,4.312,4.354,4.356,4.289,-0.19
248,2022-12-06,4.371,4.341,4.413,4.341,1.37
249,2022-12-07,4.301,4.371,4.377,4.294,-1.6
250,2022-12-08,4.27,4.343,4.345,4.265,-0.72
251,2022-12-09,4.294,4.309,4.318,4.258,0.56
252,2022-12-12,4.289,4.331,4.332,4.26,-0.12
253,2022-12-13,4.358,4.427,4.434,4.349,1.61
254,2022-12-14,4.345,4.444,4.444,4.33,-0.3
255,2022-12-15,4.327,4.33,4.387,4.319,-0.41
256,2022-12-16,4.292,4.376,4.381,4.292,-0.81
257,2022-12-19,4.283,4.338,4.345,4.271,-0.21
258,2022-12-20,4.356,4.393,4.419,4.349,1.7
259,2022-12-21,4.33,4.364,4.366,4.32,-0.6
260,2022-12-22,4.332,4.364,4.366,4.317,0.05
261,2022-12-23,4.335,4.366,4.366,4.312,0.07
262,2022-12-26,4.369,4.366,4.369,4.366,0.78
263,2022-12-27,4.311,4.366,4.389,4.298,-1.32
264,2022-12-28,4.457,4.486,4.491,4.444,3.39
265,2022-12-29,4.423,4.493,4.498,4.405,-0.76
266,2022-12-30,4.405,4.462,4.47,4.371,-0.41
267,2023-01-02,4.395,4.395,4.395,4.395,-0.24
268,2023-01-03,4.373,4.404,4.43,4.363,-0.49
269,2023-01-04,4.516,4.548,4.555,4.491,3.27
270,2023-01-05,4.622,4.532,4.64,4.516,2.35
271,2023-01-06,4.626,4.697,4.697,4.613,0.09
272,2023-01-09,4.615,4.923,4.926,4.609,-0.24
273,2023-01-10,4.688,4.689,4.717,4.662,1.58
274,2023-01-11,4.677,4.695,4.706,4.667,-0.23
275,2023-01-12,4.609,4.716,4.744,4.599,-1.45
276,2023-01-13,4.62,4.643,4.654,4.604,0.24
277,2023-01-16,4.661,4.661,4.661,4.661,0.89
278,2023-01-17,4.617,4.661,4.674,4.609,-0.95
279,2023-01-18,4.651,4.708,4.708,4.649,0.74
280,2023-01-19,4.666,4.703,4.736,4.659,0.32
281,2023-01-20,4.662,4.703,4.716,4.654,-0.09
282,2023-01-23,4.669,4.719,4.752,4.661,0.15
283,2023-01-24,4.695,4.699,4.743,4.681,0.56
284,2023-01-25,4.675,4.737,4.74,4.672,-0.43
285,2023-01-26,4.669,4.716,4.726,4.669,-0.13
286,2023-01-27,4.677,4.713,4.721,4.67,0.17
287,2023-01-30,4.661,4.719,4.736,4.661,-0.34
288,2023-01-31,4.693,4.71,4.751,4.693,0.69
289,2023-02-01,4.656,4.717,4.717,4.649,-0.79
290,2023-02-02,4.64,4.672,4.708,4.635,-0.34
291,2023-02-03,4.659,4.677,4.698,4.62,0.41
292,2023-02-06,4.666,4.693,4.698,4.656,0.15
293,2023-02-07,4.703,4.697,4.722,4.66,0.79
294,2023-02-08,4.714,4.747,4.75,4.698,0.23
295,2023-02-09,4.741,4.75,4.762,4.7,0.57
296,2023-02-10,4.773,4.788,4.807,4.747,0.67
297,2023-02-13,4.778,4.812,4.822,4.765,0.1
298,2023-02-14,4.786,4.813,4.831,4.782,0.17
299,2023-02-15,4.773,4.815,4.815,4.773,-0.27
300,2023-02-16,4.801,4.823,4.825,4.77,0.59
301,2023-02-17,4.814,4.851,4.861,4.801,0.27
302,2023-02-20,4.84,4.827,4.84,4.827,0.54
303,2023-02-21,4.816,4.84,4.876,4.78,-0.5
304,2023-02-22,4.828,4.843,4.846,4.823,0.25
305,2023-02-23,4.832,4.864,4.874,4.819,0.08
306,2023-02-24,4.833,4.851,4.867,4.81,0.02
307,2023-02-27,4.804,4.841,4.897,4.788,-0.6
308,2023-02-28,4.857,4.86,4.873,4.844,1.1
309,2023-03-01,4.867,4.865,4.865,4.843,0.21
310,2023-03-02,4.869,4.877,4.91,4.828,0.04
311,2023-03-03,4.875,4.871,4.908,4.841,0.12
312,2023-03-06,4.872,4.872,4.91,4.848,-0.06
313,2023-03-07,5.013,4.889,5.003,4.885,2.89
314,2023-03-08,5.036,5.01,5.059,4.978,0.46
315,2023-03-09,5.01,5.036,5.061,4.988,-0.52
316,2023-03-10,4.955,5.014,5.024,4.911,-1.1
317,2023-03-13,4.83,4.934,5.043,4.612,-2.52
318,2023-03-14,4.836,4.798,5.003,4.798,0.12
319,2023-03-15,4.755,4.942,4.978,4.656,-1.67
320,2023-03-16,4.708,4.716,4.838,4.661,-0.99
321,2023-03-17,4.459,4.754,4.794,4.418,-5.29
322,2023-03-20,4.62,4.444,4.661,4.441,3.61
323,2023-03-21,4.753,4.676,4.88,4.676,2.88
324,2023-03-22,4.719,4.823,4.823,4.695,-0.72
325,2023-03-23,4.671,4.768,4.928,4.635,-1.02
326,2023-03-24,4.665,4.687,4.805,4.579,-0.14
327,2023-03-27,4.752,4.714,4.809,4.639,1.88
328,2023-03-28,4.771,4.767,4.904,4.758,0.4
329,2023-03-29,4.773,4.828,4.856,4.734,0.04
330,2023-03-30,4.814,4.781,4.918,4.754,0.86
331,2023-03-31,4.802,4.9,4.984,4.755,-0.25
332,2023-04-03,4.739,4.81,4.998,4.723,-1.31
333,2023-04-04,4.885,4.881,4.956,4.862,3.08
334,2023-04-05,4.851,4.874,4.874,4.823,-0.7
335,2023-04-06,4.885,4.911,5.007,4.815,0.7
336,2023-04-07,4.947,4.926,4.926,4.926,1.27
337,2023-04-10,5.002,4.906,5.035,4.845,1.11
338,2023-04-11,5.034,5.102,5.107,5.0,0.64
339,2023-04-12,5.013,5.073,5.08,4.989,-0.42
340,2023-04-13,5.028,5.08,5.175,5.001,0.3
341,2023-04-14,5.096,5.056,5.308,5.009,1.35
342,2023-04-17,5.108,5.116,5.289,5.063,0.24
343,2023-04-18,5.19,5.193,5.239,5.164,1.61
344,2023-04-19,5.154,5.208,5.208,5.129,-0.69
345,2023-04-20,5.101,5.186,5.318,5.084,-1.03
346,2023-04-21,5.117,5.134,5.22,5.074,0.31
347,2023-04-24,5.061,5.108,5.237,5.022,-1.09
348,2023-04-25,5.12,5.177,5.2,5.096,1.17
349,2023-04-26,5.143,5.137,5.186,5.101,0.45
350,2023-04-27,5.195,5.147,5.271,5.139,1.01
351,2023-04-28,5.104,5.17,5.282,5.069,-1.75
352,2023-05-01,5.051,5.095,5.126,5.019,-1.04
353,2023-05-02,5.227,5.214,5.291,5.185,3.48
354,2023-05-03,5.258,5.254,5.277,5.197,0.59
355,2023-05-04,5.268,5.249,5.55,5.199,0.19
356,2023-05-05,5.265,5.264,5.393,5.228,-0.06
357,2023-05-08,5.254,5.255,5.302,5.224,-0.21
358,2023-05-09,5.281,5.284,5.325,5.234,0.51
359,2023-05-10,5.232,5.254,5.319,5.212,-0.93
360,2023-05-11,5.184,5.259,5.381,5.167,-0.92
361,2023-05-12,5.216,5.23,5.274,5.168,0.62
362,2023-05-15,5.176,5.253,5.3,5.152,-0.77
363,2023-05-16,5.219,5.244,5.244,5.185,0.83
364,2023-05-17,5.261,5.244,5.277,5.197,0.8
365,2023-05-18,5.294,5.293,5.425,5.243,0.63
366,2023-05-19,5.258,5.303,5.412,5.243,-0.68
367,2023-05-22,5.278,5.31,5.409,5.258,0.38
368,2023-05-23,5.328,5.414,5.414,5.315,0.95
369,2023-05-24,5.352,5.309,5.392,5.306,0.45
370,2023-05-25,5.372,5.397,5.506,5.321,0.37
371,2023-05-26,5.322,5.36,5.463,5.292,-0.93
372,2023-05-29,5.357,5.354,5.357,5.354,0.65
373,2023-05-30,5.311,5.353,5.465,5.283,-0.85
374,2023-05-31,5.417,5.452,5.48,5.394,2.0
375,2023-06-01,5.385,5.472,5.547,5.38,-0.59
376,2023-06-02,5.393,5.437,5.516,5.38,0.15
377,2023-06-05,5.322,5.396,5.523,5.312,-1.32
378,2023-06-06,5.334,5.373,5.413,5.309,0.23
379,2023-06-07,5.318,5.324,5.324,5.288,-0.3
380,2023-06-08,5.265,5.36,5.389,5.248,-1.0
381,2023-06-09,5.265,5.282,5.316,5.243,0.0
382,2023-06-12,5.259,5.287,5.302,5.237,-0.11
383,2023-06-13,5.263,5.304,5.342,5.243,0.08
384,2023-06-14,5.253,5.263,5.307,5.247,-0.19
385,2023-06-15,5.223,5.297,5.372,5.218,-0.57
386,2023-06-16,5.233,5.265,5.39,5.226,0.19
387,2023-06-19,5.278,5.285,5.285,5.278,0.85
388,2023-06-20,5.233,5.275,5.35,5.23,-0.85
389,2023-06-21,5.3,5.32,5.344,5.263,1.28
390,2023-06-22,5.304,5.339,5.456,5.291,0.08
391,2023-06-23,5.304,5.328,5.586,5.291,0.0
392,2023-06-26,5.319,5.344,5.413,5.309,0.28
393,2023-06-27,5.341,5.34,5.376,5.337,0.41
394,2023-06-28,5.331,5.341,5.341,5.331,-0.19
395,2023-06-29,5.348,5.373,5.518,5.341,0.32
396,2023-06-30,5.323,5.38,5.469,5.304,-0.47
397,2023-07-03,5.313,5.349,5.493,5.311,-0.19
398,2023-07-04,5.385,5.385,5.385,5.385,1.35
