일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/08/12","2527.94","4.16","0.16","2519.66","2533.20","2514.31","445547.0","8028577.0","1.990518588E9"
"2022/08/11","2523.78","42.90","1.73","2507.74","2523.78","2506.41","505246.0","9710840.0","1.986815489E9"
"2022/08/10","2480.88","-22.58","-0.90","2493.70","2494.15","2478.21","479467.0","9029482.0","1.953610456E9"
"2022/08/09","2503.46","10.36","0.42","2493.57","2506.49","2481.36","454364.0","8940803.0","1.971839855E9"
"2022/08/08","2493.10","2.30","0.09","2481.17","2494.00","2477.76","418234.0","7613758.0","1.964010918E9"
"2022/08/05","2490.80","17.69","0.72","2481.43","2497.58","2480.05","409776.0","7561092.0","1.962992758E9"
"2022/08/04","2473.11","11.66","0.47","2478.44","2478.95","2465.32","399965.0","7506315.0","1.948549233E9"
"2022/08/03","2461.45","21.83","0.89","2438.56","2461.45","2433.12","475302.0","6751539.0","1.93957196E9"
"2022/08/02","2439.62","-12.63","-0.52","2451.00","2451.07","2428.76","549924.0","7266264.0","1.922819214E9"
"2022/08/01","2452.25","0.75","0.03","2444.05","2461.40","2437.13","487160.0","7509598.0","1.932452046E9"
"2022/07/29","2451.50","16.23","0.67","2453.53","2463.05","2442.01","499369.0","1.0256338E7","1.931903737E9"
"2022/07/28","2435.27","19.74","0.82","2437.57","2443.43","2429.07","491073.0","9196435.0","1.919419877E9"
"2022/07/27","2415.53","2.57","0.11","2412.52","2415.53","2396.19","333588.0","7049803.0","1.903522364E9"
"2022/07/26","2412.96","9.27","0.39","2397.27","2415.39","2395.17","415671.0","6240741.0","1.90121443E9"
"2022/07/25","2403.69","10.55","0.44","2385.65","2412.47","2385.65","323091.0","5959859.0","1.894263511E9"
"2022/07/22","2393.14","-16.02","-0.66","2405.37","2417.91","2391.48","381597.0","6973851.0","1.886496918E9"
"2022/07/21","2409.16","22.31","0.93","2387.91","2411.96","2387.91","295624.0","6309071.0","1.899062118E9"
"2022/07/20","2386.85","15.88","0.67","2406.29","2410.06","2382.65","333329.0","7434804.0","1.881643043E9"
