,date,ixbk,open,high,low,volume,ixbk_cr
250,2023-01-19,4006.699951171875,3981.699951171875,4014.760009765625,3960.260009765625,81400,0.04%
251,2023-01-20,4103.68017578125,4078.889892578125,4103.68017578125,4046.580078125,87400,2.42%
252,2023-01-23,4150.43017578125,4111.22021484375,4171.08984375,4110.58984375,72900,1.14%
253,2023-01-24,4106.1298828125,4138.93994140625,4138.93994140625,4100.81982421875,61300,-1.07%
254,2023-01-25,4104.41015625,4081.159912109375,4104.669921875,4049.2099609375,68600,-0.04%
255,2023-01-26,4114.580078125,4132.02001953125,4139.47998046875,4081.2099609375,71300,0.25%
256,2023-01-27,4136.830078125,4111.43994140625,4146.85009765625,4103.669921875,66500,0.54%
257,2023-01-30,4106.06005859375,4113.6201171875,4139.64013671875,4106.06005859375,58800,-0.74%
258,2023-01-31,4217.580078125,4117.4599609375,4218.52001953125,4112.4501953125,103100,2.72%
259,2023-02-01,4263.1298828125,4193.85009765625,4304.08984375,4190.8701171875,77200,1.08%
260,2023-02-02,4364.58984375,4286.33984375,4367.490234375,4286.33984375,76500,2.38%
261,2023-02-03,4369.64013671875,4325.08984375,4394.740234375,4322.41015625,69100,0.12%
262,2023-02-06,4326.4501953125,4343.0400390625,4354.81005859375,4306.509765625,52100,-0.99%
263,2023-02-07,4373.47998046875,4306.60986328125,4382.18994140625,4302.580078125,60200,1.09%
264,2023-02-08,4330.58984375,4347.009765625,4364.169921875,4323.72998046875,49700,-0.98%
265,2023-02-09,4277.919921875,4351.35986328125,4357.5,4270.7099609375,48200,-1.22%
266,2023-02-10,4272.47998046875,4265.009765625,4276.47021484375,4251.2998046875,46200,-0.13%
267,2023-02-13,4302.89990234375,4265.35009765625,4302.89990234375,4257.830078125,42500,0.71%
268,2023-02-14,4274.52001953125,4290.27978515625,4311.509765625,4242.22021484375,46000,-0.66%
269,2023-02-15,4309.5400390625,4245.2900390625,4312.64013671875,4243.47998046875,41800,0.82%
270,2023-02-16,4252.3701171875,4265.2998046875,4286.7099609375,4250.02001953125,47100,-1.33%
271,2023-02-17,4278.509765625,4252.5498046875,4284.66015625,4231.22998046875,55300,0.61%
272,2023-02-21,4195.64013671875,4245.259765625,4246.68017578125,4184.22998046875,55200,-1.94%
273,2023-02-22,4180.8701171875,4199.18017578125,4205.35986328125,4162.25,65300,-0.35%
274,2023-02-23,4200.72998046875,4201.39013671875,4212.919921875,4163.5498046875,47200,0.48%
275,2023-02-24,4197.759765625,4161.419921875,4198.77001953125,4153.7998046875,53000,-0.07%
276,2023-02-27,4197.169921875,4229.580078125,4245.10986328125,4186.2998046875,50500,-0.01%
277,2023-02-28,4188.9501953125,4206.509765625,4222.85986328125,4188.9501953125,126900,-0.20%
278,2023-03-01,4167.9599609375,4166.330078125,4180.1298828125,4148.81982421875,54000,-0.50%
279,2023-03-02,4102.06982421875,4129.5498046875,4133.02978515625,4064.35009765625,59100,-1.58%
280,2023-03-03,4148.85009765625,4120.02978515625,4153.10986328125,4096.18017578125,55900,1.14%
281,2023-03-06,4116.7099609375,4152.1298828125,4170.990234375,4108.18994140625,67000,-0.77%
282,2023-03-07,3994.75,4096.5400390625,4096.5400390625,3991.6201171875,72300,-2.96%
283,2023-03-08,3981.590087890625,3998.219970703125,4013.389892578125,3961.02001953125,68000,-0.33%
284,2023-03-09,3651.5400390625,3874.080078125,3874.080078125,3651.050048828125,152100,-8.29%
285,2023-03-10,3481.909912109375,3554.3701171875,3650.1201171875,3453.27001953125,239000,-4.65%
286,2023-03-13,3138.18994140625,3246.5,3328.56005859375,3050.31005859375,393300,-9.87%
287,2023-03-14,3199.22998046875,3396.93994140625,3411.699951171875,3163.25,303300,1.95%
288,2023-03-15,3162.14990234375,3070.030029296875,3170.35009765625,3052.35009765625,281400,-1.16%
289,2023-03-16,3264.510009765625,3118.739990234375,3323.179931640625,3076.0,269700,3.24%
290,2023-03-17,3100.159912109375,3202.31005859375,3202.64990234375,3083.409912109375,345600,-5.03%
291,2023-03-20,3127.780029296875,3163.77001953125,3231.419921875,3124.419921875,179000,0.89%
292,2023-03-21,3263.14990234375,3241.429931640625,3271.909912109375,3216.0,170900,4.33%
293,2023-03-22,3111.030029296875,3255.7099609375,3261.340087890625,3110.159912109375,151200,-4.66%
294,2023-03-23,3036.39990234375,3142.64990234375,3145.27001953125,3018.9599609375,158500,-2.40%
295,2023-03-24,3107.389892578125,2994.699951171875,3109.02001953125,2987.719970703125,128900,2.34%
296,2023-03-27,3180.06005859375,3229.050048828125,3238.429931640625,3175.659912109375,116600,2.34%
297,2023-03-28,3174.3798828125,3170.830078125,3203.39990234375,3149.199951171875,167900,-0.18%
298,2023-03-29,3194.590087890625,3207.1298828125,3208.489990234375,3160.0,167500,0.64%
299,2023-03-30,3128.699951171875,3223.360107421875,3224.31005859375,3122.030029296875,148500,-2.06%
300,2023-03-31,3158.72998046875,3157.7900390625,3165.0,3129.89990234375,131700,0.96%
301,2023-04-03,3136.010009765625,3171.1201171875,3178.97998046875,3117.5,112400,-0.72%
302,2023-04-04,3070.580078125,3147.85009765625,3148.389892578125,3037.85009765625,136000,-2.09%
303,2023-04-05,3057.449951171875,3034.780029296875,3065.3701171875,3032.10009765625,103200,-0.43%
304,2023-04-06,3088.280029296875,3062.77001953125,3102.60009765625,3060.639892578125,82400,1.01%
305,2023-04-10,3105.1298828125,3071.68994140625,3124.909912109375,3064.97998046875,86900,0.55%
306,2023-04-11,3101.110107421875,3113.909912109375,3121.739990234375,3093.5400390625,67200,-0.13%
307,2023-04-12,3073.570068359375,3118.8701171875,3125.830078125,3065.68994140625,68900,-0.89%
308,2023-04-13,3104.85009765625,3076.889892578125,3119.169921875,3058.090087890625,70400,1.02%
309,2023-04-14,3052.169921875,3144.25,3147.31005859375,3039.610107421875,78000,-1.70%
310,2023-04-17,3120.06005859375,3039.5,3120.219970703125,3022.22998046875,87400,2.22%
311,2023-04-18,3057.550048828125,3122.43994140625,3123.239990234375,3042.159912109375,77900,-2.00%
312,2023-04-19,3141.449951171875,3066.989990234375,3154.52001953125,3057.320068359375,101500,2.74%
313,2023-04-20,3103.22998046875,3105.919921875,3133.419921875,3084.97998046875,92300,-1.22%
314,2023-04-21,3067.8701171875,3086.780029296875,3087.43994140625,3050.179931640625,85800,-1.14%
315,2023-04-24,3039.47998046875,3061.39990234375,3085.0400390625,3038.570068359375,81400,-0.93%
316,2023-04-25,2926.68994140625,3000.070068359375,3003.60009765625,2922.050048828125,110300,-3.71%
317,2023-04-26,2933.889892578125,2929.7900390625,2968.110107421875,2905.909912109375,112500,0.25%
318,2023-04-27,2975.60009765625,2944.77001953125,2985.6201171875,2943.070068359375,96000,1.42%
319,2023-04-28,3000.110107421875,2969.570068359375,3020.830078125,2968.93994140625,129800,0.82%
320,2023-05-01,2937.570068359375,2997.050048828125,3005.0,2932.4599609375,125900,-2.08%
321,2023-05-02,2782.18994140625,2922.77001953125,2923.06005859375,2754.25,225100,-5.29%
322,2023-05-03,2753.0,2789.699951171875,2850.919921875,2749.610107421875,159900,-1.05%
323,2023-05-04,2658.89990234375,2677.81005859375,2696.64990234375,2580.840087890625,308000,-3.42%
324,2023-05-05,2781.340087890625,2759.60009765625,2784.169921875,2726.860107421875,271500,4.60%
325,2023-05-08,2739.739990234375,2830.18994140625,2840.840087890625,2739.739990234375,191200,-1.50%
326,2023-05-09,2724.5400390625,2720.320068359375,2739.030029296875,2687.68994140625,114000,-0.55%
327,2023-05-10,2718.570068359375,2785.4599609375,2787.659912109375,2697.68994140625,104400,-0.22%
328,2023-05-11,2673.77001953125,2681.5,2696.93994140625,2661.93994140625,159600,-1.65%
329,2023-05-12,2680.2099609375,2694.030029296875,2694.030029296875,2650.02001953125,102600,0.24%
330,2023-05-15,2750.469970703125,2690.0400390625,2761.3798828125,2686.35009765625,122100,2.62%
331,2023-05-16,2714.25,2752.260009765625,2768.659912109375,2714.25,98500,-1.32%
332,2023-05-17,2883.0,2761.590087890625,2887.25,2761.469970703125,144300,6.22%
333,2023-05-18,2894.93994140625,2881.35009765625,2905.31005859375,2865.409912109375,136800,0.41%
334,2023-05-19,2843.280029296875,2922.760009765625,2922.830078125,2821.800048828125,125000,-1.78%
335,2023-05-22,2917.31005859375,2869.6201171875,2923.6201171875,2845.919921875,129000,2.60%
336,2023-05-23,2955.659912109375,2923.110107421875,3016.89990234375,2922.580078125,153500,1.31%
337,2023-05-24,2912.050048828125,2934.429931640625,2937.219970703125,2902.139892578125,94300,-1.48%
338,2023-05-25,2886.219970703125,2896.22998046875,2910.340087890625,2859.39990234375,81900,-0.89%
339,2023-05-26,2914.820068359375,2883.22998046875,2914.820068359375,2854.3798828125,72900,0.99%
340,2023-05-30,2911.43994140625,2922.429931640625,2923.760009765625,2874.929931640625,73300,-0.12%
341,2023-05-31,2826.06005859375,2890.31005859375,2895.639892578125,2809.9599609375,104500,-2.93%
342,2023-06-01,2885.47998046875,2847.860107421875,2911.419921875,2821.97998046875,79900,2.10%
343,2023-06-02,3046.81005859375,2935.699951171875,3052.030029296875,2926.389892578125,108300,5.59%
344,2023-06-05,2967.25,3042.89990234375,3043.639892578125,2956.5,85300,-2.61%
345,2023-06-06,3117.6298828125,2963.93994140625,3144.419921875,2961.60009765625,106200,5.07%
346,2023-06-07,3210.699951171875,3145.699951171875,3231.3701171875,3132.699951171875,127700,2.99%
347,2023-06-08,3177.93994140625,3193.97998046875,3196.320068359375,3136.8798828125,92100,-1.02%
348,2023-06-09,3138.5,3173.199951171875,3173.300048828125,3128.739990234375,0,-1.24%
349,2023-06-12,3114.1298828125,3139.969970703125,3193.25,3095.580078125,94800,-0.78%
350,2023-06-13,3185.590087890625,3121.179931640625,3190.840087890625,3115.489990234375,100000,2.29%
351,2023-06-14,3108.110107421875,3186.139892578125,3199.760009765625,3101.340087890625,108600,-2.43%
352,2023-06-15,3159.1298828125,3086.050048828125,3166.27001953125,3085.6298828125,83800,1.64%
353,2023-06-16,3128.699951171875,3175.199951171875,3175.780029296875,3102.110107421875,199600,-0.96%
354,2023-06-20,3086.340087890625,3118.1201171875,3118.1201171875,3078.06005859375,79300,-1.35%
355,2023-06-21,3045.43994140625,3078.52001953125,3079.219970703125,3045.43994140625,67400,-1.33%
356,2023-06-22,2965.699951171875,3032.929931640625,3032.93994140625,2955.02001953125,82500,-2.62%
357,2023-06-23,2937.739990234375,2927.179931640625,2960.590087890625,2916.18994140625,176900,-0.94%
358,2023-06-26,2956.989990234375,2949.530029296875,2992.75,2949.530029296875,73200,0.66%
359,2023-06-27,2984.6298828125,2965.449951171875,3011.760009765625,2945.570068359375,64700,0.93%
360,2023-06-28,2979.330078125,2976.6201171875,2982.85009765625,2954.6201171875,65300,-0.18%
361,2023-06-29,3026.830078125,3006.139892578125,3045.25,3005.340087890625,68500,1.59%
362,2023-06-30,2999.3798828125,3054.199951171875,3054.199951171875,2998.159912109375,69400,-0.91%
363,2023-07-03,3050.89990234375,3004.030029296875,3057.14990234375,3003.56005859375,37700,1.72%
364,2023-07-05,3015.6298828125,3023.780029296875,3050.530029296875,3002.22998046875,59700,-1.16%
365,2023-07-06,2969.8701171875,2977.570068359375,2978.090087890625,2927.699951171875,75500,-1.52%
366,2023-07-07,3030.110107421875,2972.780029296875,3049.590087890625,2972.780029296875,86100,2.03%
367,2023-07-10,3042.14990234375,3017.909912109375,3074.68994140625,3017.909912109375,66400,0.40%
368,2023-07-11,3070.22998046875,3052.72998046875,3079.8701171875,3037.409912109375,62900,0.92%
369,2023-07-12,3120.530029296875,3125.580078125,3155.429931640625,3113.8798828125,83400,1.64%
370,2023-07-13,3166.840087890625,3140.030029296875,3181.010009765625,3128.409912109375,66400,1.48%
371,2023-07-14,3120.219970703125,3188.43994140625,3188.800048828125,3104.719970703125,79900,-1.47%
372,2023-07-17,3178.010009765625,3115.429931640625,3191.340087890625,3112.699951171875,60300,1.85%
373,2023-07-18,3286.469970703125,3179.6201171875,3286.889892578125,3178.72998046875,89400,3.41%
374,2023-07-19,3364.77001953125,3301.25,3369.030029296875,3280.25,112100,2.38%
375,2023-07-20,3362.840087890625,3369.080078125,3369.1201171875,3310.89990234375,114600,-0.06%
376,2023-07-21,3318.14990234375,3381.6201171875,3382.68994140625,3314.7900390625,92700,-1.33%
377,2023-07-24,3388.110107421875,3320.4599609375,3395.580078125,3320.300048828125,90000,2.11%
378,2023-07-25,3356.8701171875,3397.280029296875,3413.31005859375,3355.0,138200,-0.92%
379,2023-07-26,3479.60009765625,3405.659912109375,3493.669921875,3405.570068359375,120500,3.66%
380,2023-07-27,3431.7900390625,3500.1298828125,3507.489990234375,3419.2099609375,102800,-1.37%
381,2023-07-28,3465.97998046875,3465.25,3484.919921875,3441.360107421875,77200,1.00%
382,2023-07-31,3468.43994140625,3471.239990234375,3486.340087890625,3450.39990234375,112900,0.07%
383,2023-08-01,3444.2900390625,3454.3701171875,3455.070068359375,3397.179931640625,71900,-0.70%
384,2023-08-02,3429.909912109375,3395.550048828125,3431.77001953125,3382.010009765625,0,-0.42%
385,2023-08-03,3465.530029296875,3415.93994140625,3475.800048828125,3407.60009765625,0,1.04%
386,2023-08-04,3466.669921875,3454.3798828125,3494.570068359375,3453.56005859375,0,0.03%
387,2023-08-07,3502.590087890625,3471.8701171875,3505.419921875,3469.340087890625,49200,1.04%
388,2023-08-08,3456.68994140625,3418.159912109375,3459.219970703125,3375.889892578125,62500,-1.31%
389,2023-08-09,3411.169921875,3437.010009765625,3440.280029296875,3407.27001953125,50100,-1.32%
390,2023-08-10,3406.14990234375,3427.77001953125,3447.510009765625,3391.760009765625,50200,-0.15%
391,2023-08-11,3415.72998046875,3385.72998046875,3419.800048828125,3385.5400390625,46900,0.28%
392,2023-08-14,3357.8701171875,3387.72998046875,3387.72998046875,3352.43994140625,51900,-1.69%
393,2023-08-15,3258.75,3308.550048828125,3311.760009765625,3254.800048828125,62300,-2.95%
394,2023-08-16,3230.35009765625,3250.889892578125,3269.10009765625,3229.81005859375,63400,-0.87%
395,2023-08-17,3230.25,3246.3798828125,3252.090087890625,3221.2099609375,50400,-0.00%
396,2023-08-18,3225.4599609375,3197.2099609375,3245.7900390625,3196.989990234375,62400,-0.15%
397,2023-08-21,3199.68994140625,3233.60009765625,3238.89990234375,3183.68994140625,47400,-0.80%
398,2023-08-22,3117.340087890625,3198.2900390625,3210.18994140625,3117.340087890625,72800,-2.57%
399,2023-08-23,3154.5400390625,3117.739990234375,3156.5400390625,3109.52001953125,51300,1.19%
400,2023-08-24,3165.14990234375,3143.85009765625,3191.580078125,3143.85009765625,45700,0.34%
401,2023-08-25,3144.010009765625,3174.93994140625,3185.5,3117.260009765625,42200,-0.67%
