,date,kosdaq,open,high,low,volume,kosdaq_cr
163,2022-08-18,826.06,822.71,826.75,817.52,950.53M,-0.16
164,2022-08-19,814.17,827.25,827.32,814.17,887.45M,-1.44
165,2022-08-22,795.87,806.9,806.92,795.87,811.88M,-2.25
166,2022-08-23,783.42,789.95,793.81,781.92,855.72M,-1.56
167,2022-08-24,793.14,788.36,793.14,782.97,714.90M,1.24
168,2022-08-25,807.37,795.18,807.37,794.16,630.31M,1.79
169,2022-08-26,802.45,810.33,813.0,801.84,718.36M,-0.61
170,2022-08-29,779.89,780.48,783.45,775.33,619.62M,-2.81
171,2022-08-30,797.02,783.99,797.03,783.99,667.24M,2.2
172,2022-08-31,807.04,792.33,807.19,791.01,637.45M,1.26
173,2022-09-01,788.32,800.74,801.02,788.13,711.36M,-2.32
174,2022-09-02,785.88,793.11,795.87,784.67,801.80M,-0.31
175,2022-09-05,771.43,784.83,786.6,768.82,741.71M,-1.84
176,2022-09-06,779.46,774.23,781.9,774.23,732.72M,1.04
177,2022-09-07,768.19,776.82,776.99,765.08,795.84M,-1.45
178,2022-09-08,777.81,776.59,781.52,775.31,738.19M,1.25
179,2022-09-13,796.79,790.89,796.83,790.83,842.46M,2.44
180,2022-09-14,782.93,775.93,784.45,770.05,858.08M,-1.74
181,2022-09-15,781.38,786.33,787.0,780.31,851.72M,-0.2
182,2022-09-16,770.04,776.49,780.25,768.7,889.03M,-1.45
183,2022-09-19,751.91,771.52,772.45,750.64,882.64M,-2.35
184,2022-09-20,760.35,758.35,764.4,757.33,804.84M,1.12
185,2022-09-21,754.89,757.13,761.35,750.14,941.67M,-0.72
186,2022-09-22,751.41,746.82,751.58,736.11,978.69M,-0.46
187,2022-09-23,729.36,749.87,749.87,728.29,883.28M,-2.93
188,2022-09-26,692.37,719.6,719.6,690.6,943.31M,-5.07
189,2022-09-27,698.11,694.53,700.38,681.59,947.76M,0.83
190,2022-09-28,673.87,696.38,702.72,668.3,911.99M,-3.47
191,2022-09-29,675.07,686.63,695.49,675.07,803.93M,0.18
192,2022-09-30,672.65,668.26,677.68,661.65,786.87M,-0.36
193,2022-10-04,696.79,685.19,696.79,683.63,667.60M,3.59
194,2022-10-05,685.34,706.76,707.59,683.15,813.67M,-1.64
195,2022-10-06,706.01,690.48,706.43,690.48,1.14B,3.02
196,2022-10-07,698.49,700.71,707.42,697.59,1.15B,-1.07
197,2022-10-11,669.5,685.3,685.3,667.63,1.16B,-4.15
198,2022-10-12,671.67,669.59,673.42,663.6,1.14B,0.32
199,2022-10-13,651.59,669.36,669.71,650.39,1.05B,-2.99
200,2022-10-14,678.24,665.17,679.92,665.17,893.52M,4.09
201,2022-10-17,682.0,667.61,682.39,664.83,814.42M,0.55
202,2022-10-18,697.09,692.39,697.37,685.9,1.07B,2.21
203,2022-10-19,690.56,697.94,705.84,689.67,1.05B,-0.94
204,2022-10-20,680.44,688.44,693.14,675.89,1.05B,-1.47
205,2022-10-21,674.48,678.16,682.49,674.48,1.03B,-0.88
206,2022-10-24,688.5,686.43,693.44,686.43,817.96M,2.08
207,2022-10-25,688.85,690.77,695.95,686.21,973.74M,0.05
208,2022-10-26,683.17,690.67,691.13,683.14,963.24M,-0.82
209,2022-10-27,695.09,686.41,695.22,686.41,852.17M,1.74
210,2022-10-28,687.63,690.71,695.51,687.19,847.49M,-1.07
211,2022-10-31,695.33,694.69,695.62,689.97,751.26M,1.12
212,2022-11-01,700.05,695.45,700.07,693.92,920.26M,0.68
213,2022-11-02,697.37,697.4,699.24,694.94,858.23M,-0.38
214,2022-11-03,694.13,685.42,695.63,683.74,707.28M,-0.46
215,2022-11-04,693.89,691.69,694.17,684.99,737.32M,-0.03
216,2022-11-07,700.48,696.22,700.49,695.1,722.34M,0.95
217,2022-11-08,713.33,703.36,713.33,703.36,846.23M,1.83
218,2022-11-09,714.6,715.19,717.09,711.15,931.48M,0.18
