,date,ixfn,open,high,low,volume,ixfn_cr
175,2022-09-07,8867.7998046875,8703.6298828125,8876.2197265625,8701.51953125,215800,1.92%
176,2022-09-08,8954.01953125,8791.650390625,8954.3896484375,8782.9404296875,244700,0.97%
177,2022-09-09,9070.2099609375,9002.2001953125,9083.2099609375,8993.5302734375,242800,1.30%
178,2022-09-12,9127.3896484375,9104.830078125,9166.6904296875,9084.1298828125,226000,0.63%
179,2022-09-13,8805.5498046875,8928.7099609375,8959.5595703125,8789.08984375,271300,-3.53%
180,2022-09-14,8773.41015625,8804.0703125,8806.6796875,8712.51953125,314700,-0.36%
181,2022-09-15,8698.830078125,8748.0595703125,8849.8798828125,8690.5595703125,283200,-0.85%
182,2022-09-16,8624.2197265625,8632.1298828125,8640.6103515625,8578.490234375,430700,-0.86%
183,2022-09-19,8660.4296875,8579.51953125,8661.2998046875,8564.1201171875,318300,0.42%
184,2022-09-20,8498.73046875,8594.2001953125,8594.7998046875,8459.830078125,257100,-1.87%
185,2022-09-21,8396.75,8536.0595703125,8597.9599609375,8396.0595703125,295900,-1.20%
186,2022-09-22,8284.6904296875,8403.5,8413.1298828125,8265.240234375,284100,-1.33%
187,2022-09-23,8165.08984375,8207.7802734375,8208.26953125,8082.68017578125,270100,-1.44%
188,2022-09-26,8050.0400390625,8129.72021484375,8186.22998046875,8019.93017578125,311500,-1.41%
189,2022-09-27,8006.6298828125,8120.7099609375,8174.41015625,7972.5498046875,292500,-0.54%
190,2022-09-28,8167.080078125,8059.56982421875,8193.16015625,8039.009765625,316500,2.00%
191,2022-09-29,7991.93994140625,8078.830078125,8083.47998046875,7954.60986328125,284700,-2.14%
192,2022-09-30,7987.8798828125,8011.169921875,8116.169921875,7982.009765625,318000,-0.05%
193,2022-10-03,8141.740234375,8054.75,8174.240234375,7976.1201171875,344200,1.93%
194,2022-10-04,8393.1796875,8256.8603515625,8393.3095703125,8251.2001953125,343400,3.09%
195,2022-10-05,8326.7099609375,8287.580078125,8363.419921875,8218.73046875,248400,-0.79%
196,2022-10-06,8242.7099609375,8309.9296875,8357.41015625,8229.23046875,256400,-1.01%
197,2022-10-07,8035.60986328125,8154.08984375,8163.0400390625,8000.02001953125,270900,-2.51%
198,2022-10-10,7981.06982421875,8067.080078125,8067.419921875,7949.64990234375,260300,-0.68%
199,2022-10-11,7953.31005859375,7969.6201171875,8035.33984375,7869.97998046875,286000,-0.35%
200,2022-10-12,7913.8798828125,7950.759765625,7972.31982421875,7885.009765625,247400,-0.50%
201,2022-10-13,8030.9599609375,7752.10986328125,8053.27001953125,7712.0498046875,0,1.48%
202,2022-10-14,7808.97021484375,8099.91015625,8126.31982421875,7802.68017578125,0,-2.76%
203,2022-10-17,8001.47021484375,7951.72998046875,8044.919921875,7942.06982421875,241000,2.47%
204,2022-10-18,8076.759765625,8164.2900390625,8180.56005859375,8034.2099609375,282300,0.94%
205,2022-10-19,7916.60009765625,7982.22998046875,8027.2099609375,7889.18017578125,260000,-1.98%
206,2022-10-20,7858.97021484375,7914.419921875,7981.18017578125,7845.77978515625,254000,-0.73%
207,2022-10-21,7976.66015625,7859.22998046875,7979.93994140625,7794.72998046875,233600,1.50%
208,2022-10-24,7993.330078125,7997.85009765625,8018.580078125,7921.75,237800,0.21%
209,2022-10-25,8235.0703125,8010.3701171875,8242.7900390625,8010.3701171875,327100,3.02%
210,2022-10-26,8228.7001953125,8262.51953125,8323.7900390625,8222.2802734375,306000,-0.08%
211,2022-10-27,8259.8798828125,8285.7001953125,8350.2001953125,8253.150390625,243600,0.38%
212,2022-10-28,8401.169921875,8244.3701171875,8410.830078125,8231.48046875,247000,1.71%
213,2022-10-31,8357.75,8359.490234375,8395.7001953125,8341.6904296875,287300,-0.52%
214,2022-11-01,8361.169921875,8476.76953125,8480.4697265625,8349.0498046875,368700,0.04%
215,2022-11-02,8208.9501953125,8329.8896484375,8429.3798828125,8208.5,391900,-1.82%
216,2022-11-03,8220.2099609375,8162.39990234375,8286.5498046875,8149.5498046875,321300,0.14%
217,2022-11-04,8318.990234375,8315.8203125,8365.3095703125,8221.3603515625,408100,1.20%
218,2022-11-07,8343.25,8360.169921875,8374.1201171875,8299.5400390625,307200,0.29%
219,2022-11-08,8333.3203125,8331.5498046875,8432.7099609375,8270.1103515625,437000,-0.12%
220,2022-11-09,8225.669921875,8286.1201171875,8332.650390625,8215.259765625,382600,-1.29%
221,2022-11-10,8657.419921875,8511.009765625,8660.0,8495.990234375,505100,5.25%
222,2022-11-11,8772.4697265625,8671.91015625,8798.990234375,8659.990234375,421300,1.33%
223,2022-11-14,8598.740234375,8722.4697265625,8735.1396484375,8597.1298828125,374500,-1.98%
224,2022-11-15,8686.5400390625,8715.5400390625,8737.8701171875,8629.080078125,325300,1.02%
225,2022-11-16,8566.23046875,8636.240234375,8646.4296875,8559.240234375,297800,-1.39%
226,2022-11-17,8497.0703125,8448.7197265625,8513.1298828125,8435.990234375,252600,-0.81%
227,2022-11-18,8501.2802734375,8587.1796875,8590.0400390625,8452.8701171875,263000,0.05%
228,2022-11-21,8530.5302734375,8473.650390625,8537.3896484375,8473.650390625,344600,0.34%
229,2022-11-22,8579.0703125,8553.6796875,8585.16015625,8519.900390625,0,0.57%
230,2022-11-23,8644.1796875,8577.169921875,8650.33984375,8577.1201171875,259200,0.76%
231,2022-11-25,8651.1201171875,8636.1796875,8653.650390625,8619.5302734375,128300,0.08%
232,2022-11-28,8532.0400390625,8595.23046875,8634.5498046875,8515.51953125,245500,-1.38%
233,2022-11-29,8585.4296875,8547.650390625,8602.08984375,8530.41015625,251100,0.63%
234,2022-11-30,8770.3095703125,8589.9501953125,8770.6201171875,8541.58984375,334100,2.15%
235,2022-12-01,8815.3603515625,8809.25,8845.2001953125,8770.5595703125,237200,0.51%
236,2022-12-02,8816.900390625,8731.2197265625,8839.25,8714.6796875,218000,0.02%
237,2022-12-05,8697.3603515625,8786.5302734375,8787.009765625,8681.26953125,253500,-1.36%
238,2022-12-06,8635.6796875,8698.599609375,8705.6103515625,8599.3896484375,250100,-0.71%
239,2022-12-07,8550.91015625,8612.7197265625,8647.3798828125,8544.1796875,243300,-0.98%
240,2022-12-08,8591.9697265625,8580.98046875,8633.4599609375,8556.58984375,220000,0.48%
241,2022-12-09,8547.7802734375,8559.400390625,8597.2900390625,8540.01953125,197000,-0.51%
242,2022-12-12,8619.6201171875,8539.650390625,8619.6904296875,8526.08984375,242800,0.84%
243,2022-12-13,8675.66015625,8850.0,8871.4296875,8640.8701171875,334800,0.65%
244,2022-12-14,8583.490234375,8655.099609375,8718.9697265625,8558.51953125,344600,-1.06%
