,date,ixic_f,open,high,low,volume,ixic_f_cr
101,2022-05-20,11840.75,11898.0,12096.75,11491.25,806781,-0.32%
102,2022-05-23,12035.25,11866.0,12075.5,11783.75,660213,1.64%
103,2022-05-24,11771.0,11915.0,11918.0,11576.25,717429,-2.20%
104,2022-05-25,11942.25,11808.0,12036.0,11672.0,671096,1.45%
105,2022-05-26,12279.25,11887.5,12343.0,11848.25,611884,2.82%
106,2022-05-27,12677.75,12250.0,12720.25,12222.0,615992,3.25%
107,2022-05-31,12646.5,12705.25,12883.0,12480.0,832388,-0.25%
108,2022-06-01,12551.0,12662.5,12823.5,12454.75,682211,-0.76%
109,2022-06-02,12893.75,12549.75,12903.75,12442.5,620008,2.73%
110,2022-06-03,12551.0,12896.0,12945.25,12503.0,652955,-2.66%
111,2022-06-06,12605.0,12549.75,12810.0,12527.0,536936,0.43%
112,2022-06-07,12711.5,12605.25,12740.25,12412.5,577970,0.84%
113,2022-06-08,12615.75,12680.5,12783.0,12579.25,583652,-0.75%
114,2022-06-09,12275.0,12625.0,12726.0,12255.25,690155,-2.70%
115,2022-06-10,11840.0,12301.5,12338.75,11823.0,617395,-3.54%
116,2022-06-13,11296.5,11768.0,11772.5,11254.5,530220,-4.59%
117,2022-06-14,11314.25,11334.25,11505.5,11205.0,378134,0.16%
118,2022-06-15,11593.75,11329.75,11759.25,11327.75,265812,2.47%
119,2022-06-16,11124.75,11608.5,11737.75,11036.75,146538,-4.05%
120,2022-06-17,11130.3896484375,11178.5,11290.0,11130.25,731831,0.05%
121,2022-06-20,11420.75,11332.5,11437.5,11273.75,731831,2.61%
122,2022-06-21,11577.25,11332.5,11678.25,11273.75,657209,1.37%
123,2022-06-22,11565.75,11579.75,11745.75,11320.5,638960,-0.10%
124,2022-06-23,11737.5,11542.75,11766.75,11460.5,630125,1.48%
125,2022-06-24,12140.5,11687.75,12148.5,11684.75,563303,3.43%
126,2022-06-27,12040.5,12137.5,12262.0,11994.25,565803,-0.82%
127,2022-06-28,11674.25,12076.25,12174.25,11661.5,634694,-3.04%
128,2022-06-29,11691.0,11680.5,11749.0,11564.5,590173,0.14%
129,2022-06-30,11529.5,11691.5,11696.75,11351.0,738071,-1.38%
130,2022-07-01,11611.25,11507.5,11629.75,11381.75,605401,0.71%
131,2022-07-05,11808.5,11606.0,11815.75,11389.25,790937,1.70%
132,2022-07-06,11880.25,11820.25,11974.25,11727.75,649912,0.61%
133,2022-07-07,12138.5,11901.25,12168.5,11836.5,550463,2.17%
134,2022-07-08,12152.0,12115.0,12211.0,11952.5,640445,0.11%
135,2022-07-11,11884.25,12149.75,12149.75,11853.0,578336,-2.20%
136,2022-07-12,11779.0,11900.5,12025.5,11712.0,607949,-0.89%
137,2022-07-13,11762.25,11780.0,11970.0,11479.25,732270,-0.14%
138,2022-07-14,11797.5,11729.5,11835.0,11511.25,654560,0.30%
139,2022-07-15,12007.5,11810.5,12021.5,11740.25,560980,1.78%
140,2022-07-18,11907.0,12043.5,12186.5,11857.0,553676,-0.84%
141,2022-07-19,12274.0,11909.5,12328.5,11889.5,585591,3.08%
142,2022-07-20,12465.25,12330.5,12517.5,12235.75,643607,1.56%
143,2022-07-21,12640.0,12440.0,12655.25,12373.5,605066,1.40%
144,2022-07-22,12423.5,12559.25,12698.5,12343.75,634548,-1.71%
145,2022-07-25,12354.5,12444.5,12498.5,12266.5,491612,-0.56%
146,2022-07-26,12112.5,12311.25,12334.0,12072.0,536287,-1.96%
147,2022-07-27,12619.0,12192.0,12690.0,12191.75,634889,4.18%
