,date,tsla,open,high,low,volume,tsla_cr
83,2022-04-26,292.1400146484375,331.80999755859375,333.3333435058594,291.6666564941406,136133700,-12.18%
84,2022-04-27,293.836669921875,299.52667236328125,306.0,292.4533386230469,76956300,0.58%
85,2022-04-28,292.5033264160156,299.99334716796875,300.0,273.8999938964844,124948500,-0.45%
86,2022-04-29,290.2533264160156,300.75,311.4666748046875,290.0,88133100,-0.77%
87,2022-05-02,300.9800109863281,286.92333984375,302.1199951171875,282.6766662597656,75781500,3.70%
88,2022-05-03,303.0833435058594,301.05999755859375,308.02667236328125,296.1966552734375,63709500,0.70%
89,2022-05-04,317.5400085449219,301.3133239746094,318.5,295.09332275390625,81643800,4.77%
90,2022-05-05,291.09332275390625,313.00665283203125,315.20001220703125,285.8999938964844,92519100,-8.33%
91,2022-05-06,288.54998779296875,295.6666564941406,296.0,281.03668212890625,72903000,-0.87%
92,2022-05-09,262.3699951171875,278.8166809082031,281.8766784667969,260.3833312988281,90810300,-9.07%
93,2022-05-10,266.67999267578125,273.10333251953125,275.1199951171875,258.0833435058594,84401700,1.64%
94,2022-05-11,244.6666717529297,265.0,269.92333984375,242.39999389648438,97224600,-8.25%
95,2022-05-12,242.6666717529297,233.6666717529297,253.22000122070312,226.6666717529297,140313000,-0.82%
96,2022-05-13,256.5299987792969,257.82666015625,262.45001220703125,250.52333068847656,92150700,5.71%
97,2022-05-16,241.4566650390625,255.72000122070312,256.586669921875,239.69667053222656,86098500,-5.88%
98,2022-05-17,253.8699951171875,249.1199951171875,254.82666015625,242.9499969482422,80236200,5.14%
99,2022-05-18,236.60333251953125,248.17333984375,253.5,233.60333251953125,87811800,-6.80%
100,2022-05-19,236.47332763671875,235.6666717529297,244.6666717529297,231.3699951171875,90296700,-0.05%
101,2022-05-20,221.3000030517578,237.99667358398438,240.52667236328125,211.0,144973200,-6.42%
102,2022-05-23,224.96665954589844,218.33999633789062,226.65333557128906,212.68666076660156,88903500,1.66%
103,2022-05-24,209.3866729736328,217.8433380126953,217.97332763671875,206.85667419433594,89092500,-6.93%
104,2022-05-25,219.60000610351562,207.9499969482422,223.10667419433594,207.6699981689453,92139300,4.88%
105,2022-05-26,235.91000366210938,220.47332763671875,239.55667114257812,217.8866729736328,106003200,7.43%
106,2022-05-27,253.2100067138672,241.0833282470703,253.26666259765625,240.17666625976562,89295000,7.33%
107,2022-05-31,252.75332641601562,257.9466552734375,259.6000061035156,244.7433319091797,101914500,-0.18%
108,2022-06-01,246.7899932861328,251.72000122070312,257.32666015625,243.63999938964844,77247900,-2.36%
109,2022-06-02,258.3333435058594,244.1566619873047,264.2099914550781,242.06666564941406,93473100,4.68%
110,2022-06-03,234.51666259765625,243.22666931152344,247.79666137695312,233.4166717529297,112393800,-9.22%
111,2022-06-06,238.27999877929688,244.35333251953125,244.86666870117188,234.35000610351562,84204600,1.60%
112,2022-06-07,238.8866729736328,234.0,239.99667358398438,230.0933380126953,72808500,0.25%
113,2022-06-08,241.86666870117188,240.086669921875,249.9633331298828,239.17666625976562,76210500,1.25%
114,2022-06-09,239.7066650390625,249.33999633789062,255.54666137695312,239.32666015625,96491400,-0.89%
115,2022-06-10,232.22999572753906,235.1566619873047,239.5,227.913330078125,97536600,-3.12%
116,2022-06-13,215.73666381835938,223.1666717529297,226.63333129882812,214.68333435058594,102767400,-7.10%
117,2022-06-14,220.88999938964844,218.2866668701172,226.3300018310547,211.73666381835938,97988700,2.39%
118,2022-06-15,233.0,220.9166717529297,235.663330078125,218.14999389648438,119131800,5.48%
119,2022-06-16,213.10000610351562,222.73666381835938,225.1666717529297,208.69332885742188,107390700,-8.54%
120,2022-06-17,216.75999450683594,213.43333435058594,220.97000122070312,213.19667053222656,92641800,1.72%
121,2022-06-21,237.0366668701172,224.60333251953125,243.57666015625,224.3333282470703,122793000,9.35%
122,2022-06-22,236.086669921875,234.50332641601562,246.8333282470703,233.82666015625,101107500,-0.40%
123,2022-06-23,235.07000732421875,237.9066619873047,239.31666564941406,228.6366729736328,104202600,-0.43%
124,2022-06-24,245.7066650390625,237.47000122070312,246.06666564941406,236.086669921875,95770800,4.52%
125,2022-06-27,244.9199981689453,249.36666870117188,252.07000732421875,242.56666564941406,89178300,-0.32%
126,2022-06-28,232.663330078125,244.48333740234375,249.97000122070312,232.3433380126953,90391200,-5.00%
127,2022-06-29,228.49000549316406,230.5,231.17333984375,222.27333068847656,82897200,-1.79%
128,2022-06-30,224.47332763671875,224.50999450683594,229.4566650390625,218.8633270263672,94600500,-1.76%
129,2022-07-01,227.26333618164062,227.0,230.22999572753906,222.1199951171875,74460300,1.24%
130,2022-07-05,233.06666564941406,223.0,233.14666748046875,216.1666717529297,84581100,2.55%
131,2022-07-06,231.73333740234375,230.77999877929688,234.56333923339844,227.18666076660156,71853600,-0.57%
132,2022-07-07,244.5433349609375,233.9199981689453,245.3633270263672,232.2100067138672,81930600,5.53%
133,2022-07-08,250.76333618164062,242.3333282470703,254.97999572753906,241.16000366210938,101854200,2.54%
134,2022-07-11,234.3433380126953,252.10333251953125,253.06333923339844,233.6266632080078,99241200,-6.55%
135,2022-07-12,233.07000732421875,236.84666442871094,239.77333068847656,228.3699951171875,87930900,-0.54%
136,2022-07-13,237.0399932861328,225.5,242.05999755859375,225.03334045410156,97954500,1.70%
137,2022-07-14,238.31333923339844,234.89666748046875,238.65333557128906,229.3333282470703,78557400,0.54%
138,2022-07-15,240.06666564941406,240.0,243.6233367919922,236.88999938964844,69683100,0.74%
139,2022-07-18,240.54666137695312,244.93666076660156,250.51666259765625,239.60333251953125,82537500,0.20%
140,2022-07-19,245.52999877929688,245.0,247.13999938964844,236.97666931152344,80890200,2.07%
141,2022-07-20,247.5,246.78334045410156,250.663330078125,243.48333740234375,88864200,0.80%
142,2022-07-21,271.7066650390625,255.10667419433594,273.26666259765625,254.86666870117188,142032300,9.78%
143,2022-07-22,272.24334716796875,276.2200012207031,280.78668212890625,270.71331787109375,103472700,0.20%
