,date,dji_f,open,high,low,volume,dji_f_cr
73,2022-04-11,34219.0,34636.0,34668.0,34181.0,159044,-1.14%
74,2022-04-12,34139.0,34232.0,34582.0,34002.0,193135,-0.23%
75,2022-04-13,34482.0,34178.0,34511.0,34052.0,161480,1.00%
76,2022-04-14,34358.0,34463.0,34794.0,34340.0,168122,-0.36%
77,2022-04-18,34313.0,34369.0,34530.0,34179.0,138271,-0.13%
78,2022-04-19,34841.0,34397.0,34897.0,34226.0,172165,1.54%
79,2022-04-20,35079.0,34785.0,35233.0,34728.0,207813,0.68%
80,2022-04-21,34709.0,35125.0,35413.0,34635.0,195639,-1.05%
81,2022-04-22,33728.0,34696.0,34719.0,33594.0,234366,-2.83%
82,2022-04-25,33965.0,33644.0,34021.0,33230.0,265193,0.70%
83,2022-04-26,33160.0,33965.0,34038.0,33081.0,222151,-2.37%
84,2022-04-27,33226.0,33163.0,33611.0,33015.0,239696,0.20%
85,2022-04-28,33828.0,33308.0,33968.0,33155.0,211619,1.81%
86,2022-04-29,32882.0,33735.0,33903.0,32820.0,202184,-2.80%
87,2022-05-02,32980.0,32988.0,33145.0,32358.0,222204,0.30%
88,2022-05-03,33033.0,32960.0,33254.0,32806.0,162760,0.16%
89,2022-05-04,33969.0,33041.0,34027.0,32925.0,188059,2.83%
90,2022-05-05,32910.0,33926.0,34020.0,32589.0,252365,-3.12%
91,2022-05-06,32809.0,32933.0,32966.0,32376.0,241720,-0.31%
92,2022-05-09,32161.0,32624.0,32690.0,32037.0,242482,-1.98%
93,2022-05-10,32087.0,32206.0,32663.0,31805.0,239430,-0.23%
94,2022-05-11,31743.0,32048.0,32506.0,31715.0,264401,-1.07%
95,2022-05-12,31652.0,31803.0,31893.0,31148.0,256197,-0.29%
96,2022-05-13,32120.0,31556.0,32201.0,31556.0,171076,1.48%
97,2022-05-16,32159.0,32148.0,32453.0,31867.0,167019,0.12%
98,2022-05-17,32581.0,32139.0,32692.0,32129.0,166271,1.31%
99,2022-05-18,31440.0,32629.0,32651.0,31299.0,168601,-3.50%
100,2022-05-19,31202.0,31397.0,31524.0,30955.0,222586,-0.76%
101,2022-05-20,31213.0,31209.0,31548.0,30585.0,217514,0.04%
102,2022-05-23,31839.0,31288.0,31925.0,31286.0,181351,2.01%
103,2022-05-24,31880.0,31782.0,31972.0,31315.0,204978,0.13%
104,2022-05-25,32076.0,31943.0,32215.0,31683.0,180970,0.61%
105,2022-05-26,32600.0,32074.0,32738.0,31996.0,153646,1.63%
106,2022-05-27,33158.0,32531.0,33239.0,32485.0,139299,1.71%
107,2022-05-31,32971.0,33201.0,33434.0,32722.0,219698,-0.56%
108,2022-06-01,32798.0,33067.0,33254.0,32563.0,176385,-0.52%
109,2022-06-02,33223.0,32763.0,33263.0,32491.0,162371,1.30%
110,2022-06-03,32888.0,33250.0,33317.0,32824.0,161880,-1.01%
111,2022-06-06,32912.0,32967.0,33229.0,32805.0,140650,0.07%
112,2022-06-07,33165.0,32903.0,33198.0,32603.0,155264,0.77%
113,2022-06-08,32889.0,33107.0,33169.0,32806.0,146008,-0.83%
114,2022-06-09,32263.0,32909.0,33110.0,32252.0,179160,-1.90%
115,2022-06-10,31388.0,32319.0,32346.0,31368.0,149283,-2.71%
116,2022-06-13,30527.0,31254.0,31293.0,30355.0,112007,-2.74%
117,2022-06-14,30375.0,30531.0,30874.0,30137.0,69324,-0.50%
118,2022-06-15,30661.0,30383.0,31008.0,30172.0,48553,0.94%
119,2022-06-16,29928.0,30727.0,30943.0,29741.0,38759,-2.39%
120,2022-06-17,29806.189453125,30021.0,30214.0,29800.0,252835,-0.41%
121,2022-06-20,30148.0,29930.0,30219.0,29741.0,252835,1.15%
122,2022-06-21,30525.0,29930.0,30646.0,29741.0,202383,1.25%
123,2022-06-22,30471.0,30524.0,30770.0,30003.0,210521,-0.18%
124,2022-06-23,30672.0,30478.0,30698.0,30247.0,208468,0.66%
